POS.;PROVINCIA;VALORE
1;Agrigento;4
2;Enna;4
3;Oristano;8,5
4;Imperia;8,75
5;Ascoli Piceno;10
6;Taranto;10
7;Macerata;10,57
8;Vibo Valentia;10,96
9;Reggio Calabria;13,015
10;L'Aquila;14
11;Sassari;14
12;Verbania;15
13;Viterbo;15
14;Cosenza;16,8
15;Isernia;17
16;Savona;17
17;Perugia;17,25
18;Campobasso;17,667
19;Massa;18
20;Pistoia;18
21;Sondrio;18
22;Avellino;18,27
23;Caserta;18,8
24;Ancona;19
25;Belluno;19
26;Lecce;19
27;Udine;19,45
28;Lucca;19,5
29;Terni;19,5
30;Cesena;20
31;Catanzaro;20,2
32;Crotone;20,25
33;Pescara;20,333
34;Siracusa;20,333
35;Aosta;20,5
36;Arezzo;20,5
37;Pisa;20,5
38;Biella;20,55
39;Pordenone;20,6
40;La Spezia;20,8
41;Cuneo;21
42;Gorizia;21
43;Grosseto;21
44;Trieste;21,075
45;Rovigo;21,5
46;Verona;21,5
47;Ferrara;21,833
48;Latina;22
49;Caltanissetta;22,2
50;Catania;22,5
51;Treviso;22,5
52;Varese;22,5
53;Cagliari;22,575
54;Asti;23
55;Piacenza;23
56;Ravenna;23
57;Parma;23,5
58;Reggio Emilia;23,5
59;Teramo;23,5
60;Mantova;24
61;Pesaro;24
62;Livorno;24,25
63;Prato;24,5
64;Bari;24,75
65;Foggia;25
66;Vicenza;25,25
67;Cremona;25,5
68;Rimini;25,5
69;Alessandria;26
70;Frosinone;26
71;Trapani;26
72;Benevento;26,3
73;Firenze;26,5
74;Venezia;26,583
75;Padova;26,833
76;Lecco;27
77;Siena;27
78;Lodi;27,5
79;Messina;27,5
80;Napoli;27,5
81;Modena;27,667
82;Novara;28
83;Pavia;28
84;Bolzano;28,6
85;Rieti;29
86;Brescia;29,25
87;Genova;30,7
88;Bergamo;31
89;Como;31
90;Trento;32,5
91;Chieti;33
92;Roma;33,5
93;Milano;35,625
94;Torino;36,25
95;Bologna;38
96;Salerno;38,4
97;Monza;45
98;Palermo;48,333
99;Brindisi;0
100;Forlì;0
101;Matera;0
102;Nuoro;0
103;Potenza;0
104;Ragusa;0
105;Vercelli;0
