POS.;PROVINCIA;VALORE
1;Catania;90,755
2;Ragusa;95,96
3;Imperia;101,545
4;Treviso;102,01
5;Isernia;102,646
6;Caltanissetta;109,644
7;Palermo;111,228
8;Livorno;113,856
9;Foggia;114,072
10;Parma;114,88
11;Arezzo;119,322
12;Agrigento;120,242
13;Brindisi;120,469
14;Sassari;120,646
15;Campobasso;121,987
16;Massa;122,373
17;Viterbo;123,463
18;Biella;125,753
19;L'Aquila;125,76
20;Pesaro;127,75
21;Modena;130,068
22;Belluno;130,502
23;Terni;130,84
24;Taranto;130,93
25;Prato;131,151
26;Latina;131,82
27;Vibo Valentia;132,22
28;Macerata;132,387
29;Frosinone;132,745
30;Forlì;132,987
31;Potenza;133,255
32;Genova;136,219
33;Cesena;136,32
34;Bari;136,681
35;Grosseto;136,936
36;Siracusa;137,713
37;Reggio Emilia;137,94
38;Matera;137,943
39;Pistoia;138,333
40;Perugia;138,461
41;Bolzano;140,823
42;Oristano;140,973
43;Ascoli Piceno;141,794
44;Messina;142,326
45;Firenze;143,702
46;Rimini;143,854
47;Pescara;144,705
48;Vercelli;144,771
49;Cosenza;144,863
50;Nuoro;145,118
51;Ferrara;145,588
52;Rovigo;147,248
53;Vicenza;147,291
54;Aosta;147,579
55;Crotone;147,655
56;Cremona;148,476
57;Rieti;148,521
58;Lecce;149,716
59;Bologna;149,807
60;Teramo;150,18
61;La Spezia;150,194
62;Benevento;150,758
63;Cuneo;150,849
64;Trento;151,268
65;Lucca;151,803
66;Asti;152,946
67;Padova;153,119
68;Ancona;153,36
69;Ravenna;153,809
70;Alessandria;155,867
71;Gorizia;155,935
72;Chieti;156,06
73;Pisa;156,186
74;Napoli;156,509
75;Lecco;158,647
76;Cagliari;158,708
77;Savona;160,23
78;Caserta;161,442
79;Trieste;163,752
80;Udine;163,908
81;Sondrio;165,884
82;Venezia;167,72
83;Verona;169,243
84;Piacenza;171,207
85;Pordenone;172,539
86;Verbania;173,738
87;Varese;176,266
88;Brescia;177,052
89;Novara;183,521
90;Como;185,119
91;Bergamo;187,687
92;Torino;189,259
93;Lodi;190,239
94;Trapani;199,072
95;Pavia;208,707
96;Monza;224,609
97;Reggio Calabria;240
98;Enna;240,582
99;Mantova;255,82
100;Milano;262,39
101;Catanzaro;276,883
102;Siena;410,417
103;Avellino;0
104;Roma;0
105;Salerno;0
