POS.;PROVINCIA;VALORE
1;Aosta;100
2;Avellino;100
3;Bolzano;100
4;Cosenza;100
5;Lecco;100
6;Livorno;100
7;Milano;100
8;Monza;100
9;Nuoro;100
10;Potenza;100
11;Salerno;100
12;Sondrio;100
13;Teramo;100
14;Trieste;100
15;Torino;99,923
16;Genova;99,722
17;Vercelli;99,672
18;Trento;99,347
19;Modena;99,304
20;Cremona;99,016
21;Mantova;99,001
22;Novara;98,845
23;Bologna;98,835
24;Foggia;98,315
25;Piacenza;98,169
26;Savona;98,038
27;Pavia;98,011
28;Matera;97,931
29;Parma;97,6
30;Cagliari;97,296
31;Brescia;97,241
32;Verbania;97,106
33;Bergamo;96,968
34;Oristano;96,84
35;Prato;96,652
36;Brindisi;96,524
37;Ascoli Piceno;96,396
38;Ragusa;96,177
39;Asti;95,93
40;Reggio Calabria;95,737
41;Firenze;95,577
42;Napoli;95,461
43;Ravenna;95,221
44;Imperia;95,025
45;Bari;94,998
46;Sassari;94,997
47;Rimini;94,968
48;Vicenza;94,87
49;Siena;94,835
50;Forlì;94,595
51;Udine;93,751
52;Caserta;93,144
53;Gorizia;93,137
54;Isernia;93,019
55;Messina;92,553
56;Rovigo;91,934
57;Grosseto;91,883
58;Padova;91,765
59;Vibo Valentia;91,604
60;Pescara;91,122
61;Frosinone;90,975
62;Agrigento;90,741
63;Ancona;90,714
64;Pesaro;90,496
65;Siracusa;90,045
66;Como;89,85
67;Massa;88,966
68;Enna;88,949
69;Terni;88,772
70;Cuneo;88,588
71;La Spezia;88,469
72;Ferrara;88,361
73;L'Aquila;88,262
74;Biella;87,985
75;Lecce;87,549
76;Macerata;87,131
77;Lodi;86,993
78;Trapani;86,885
79;Taranto;86,857
80;Roma;86,637
81;Crotone;86,124
82;Belluno;85,906
83;Varese;85,453
84;Perugia;85,047
85;Rieti;83,864
86;Verona;83,61
87;Reggio Emilia;83,189
88;Arezzo;82,336
89;Viterbo;81,675
90;Catanzaro;80,729
91;Campobasso;79,783
92;Pisa;79,608
93;Caltanissetta;79,524
94;Lucca;76,061
95;Alessandria;76,042
96;Pordenone;75,977
97;Latina;72,507
98;Venezia;71,545
99;Chieti;64,957
100;Palermo;61,154
101;Catania;56,055
102;Pistoia;55,155
103;Treviso;33,279
104;Benevento;16,995
105;Cesena;0
