POS.;PROVINCIA;VALORE
1;Lucca;6,73
2;Venezia;5,174
3;Verbania;2,159
4;Cosenza;1,626
5;Cremona;1,164
6;Firenze;1,145
7;Rimini;1,143
8;Terni;0,883
9;Siena;0,88
10;Varese;0,875
11;Padova;0,85
12;Parma;0,792
13;Chieti;0,732
14;Pistoia;0,718
15;Torino;0,624
16;Piacenza;0,596
17;Biella;0,59
18;Ravenna;0,581
19;Milano;0,569
20;Ascoli Piceno;0,567
21;Bari;0,562
22;Latina;0,55
23;Pesaro;0,549
24;Palermo;0,536
25;Ragusa;0,534
26;Reggio Emilia;0,517
27;Trieste;0,513
28;Pisa;0,501
29;Cuneo;0,427
30;Pavia;0,418
31;Livorno;0,409
32;Ferrara;0,408
33;Sondrio;0,404
34;Benevento;0,389
35;Como;0,38
36;Brindisi;0,364
37;Avellino;0,36
38;Oristano;0,347
39;La Spezia;0,33
40;Belluno;0,328
41;Rieti;0,324
42;Napoli;0,324
43;Bologna;0,286
44;Bergamo;0,283
45;Bolzano;0,278
46;Gorizia;0,276
47;Mantova;0,274
48;Brescia;0,272
49;Grosseto;0,27
50;Vercelli;0,27
51;Messina;0,265
52;Lecce;0,256
53;Cagliari;0,244
54;Perugia;0,244
55;Isernia;0,23
56;Treviso;0,227
57;Vicenza;0,221
58;Lodi;0,217
59;Modena;0,214
60;Macerata;0,213
61;Alessandria;0,212
62;Nuoro;0,206
63;Arezzo;0,202
64;Ancona;0,183
65;Genova;0,181
66;Roma;0,18
67;Prato;0,179
68;Catania;0,178
69;Forlì;0,17
70;Pescara;0,167
71;Taranto;0,165
72;Pordenone;0,164
73;Verona;0,161
74;Trento;0,16
75;Savona;0,157
76;Massa;0,154
77;Crotone;0,15
78;Lecco;0,137
79;Enna;0,134
80;Asti;0,126
81;Campobasso;0,121
82;Potenza;0,121
83;Foggia;0,108
84;Novara;0,104
85;Agrigento;0,095
86;Caltanissetta;0,081
87;Monza;0,079
88;Caserta;0,068
89;Aosta;0,058
90;Imperia;0,058
91;Udine;0,054
92;Cesena;0,051
93;Siracusa;0,048
94;Teramo;0,03
95;Rovigo;0,022
96;Reggio Calabria;0,014
97;L'Aquila;0
98;Trapani;0
99;Catanzaro;0
100;Frosinone;0
101;Matera;0
102;Salerno;0
103;Sassari;0
104;Vibo Valentia;0
105;Viterbo;0
