POS.;PROVINCIA;VALORE
1;Milano;86,12
2;Roma;57,162
3;Trieste;55,816
4;Venezia;50,708
5;Siena;47,096
6;Genova;44,256
7;L'Aquila;43,642
8;Cagliari;42,652
9;Bologna;41,611
10;Firenze;40,344
11;Trento;39,893
12;Taranto;38,254
13;La Spezia;38,222
14;Parma;38,008
15;Bolzano;37,448
16;Brescia;35,116
17;Treviso;35,108
18;Perugia;34,605
19;Rimini;32,748
20;Ancona;32,641
21;Bari;31,976
22;Savona;31,414
23;Pavia;31,061
24;Udine;29,055
25;Varese;28,583
26;Cosenza;27,759
27;Mantova;27,452
28;Nuoro;27,204
29;Pisa;26,944
30;Torino;26,87
31;Sassari;26,865
32;Bergamo;26,197
33;Pescara;26,002
34;Brindisi;25,956
35;Como;25,493
36;Oristano;24,926
37;Foggia;24,864
38;Terni;24,698
39;Reggio Emilia;24,666
40;Padova;24,151
41;Catania;23,889
42;Piacenza;23,81
43;Reggio Calabria;22,824
44;Ascoli Piceno;22,463
45;Modena;22,439
46;Monza;22,266
47;Pistoia;22,226
48;Matera;22,064
49;Catanzaro;22,063
50;Rieti;21,522
51;Chieti;21,482
52;Teramo;21,117
53;Verona;20,496
54;Livorno;20,108
55;Campobasso;19,902
56;Vicenza;19,757
57;Lecco;19,649
58;Pordenone;18,924
59;Benevento;18,581
60;Lucca;18,563
61;Macerata;18,291
62;Belluno;18,18
63;Forlì;18,038
64;Potenza;17,792
65;Cesena;17,611
66;Ferrara;17,557
67;Cuneo;17,333
68;Novara;17,164
69;Alessandria;16,662
70;Rovigo;16,523
71;Frosinone;16,379
72;Ravenna;16,304
73;Lecce;16,268
74;Arezzo;16,09
75;Gorizia;16,049
76;Palermo;15,537
77;Prato;15,338
78;Cremona;15,035
79;Trapani;15,018
80;Crotone;14,94
81;Salerno;14,771
82;Enna;14,635
83;Grosseto;14,517
84;Imperia;14,497
85;Isernia;14,436
86;Caserta;14,084
87;Agrigento;14
88;Napoli;13,498
89;Verbania;13,349
90;Aosta;13,199
91;Asti;12,08
92;Messina;11,395
93;Latina;10,369
94;Lodi;10,3
95;Massa;10
96;Viterbo;9,789
97;Pesaro;9,54
98;Avellino;8,298
99;Siracusa;7,812
100;Vercelli;7,266
101;Biella;6,361
102;Sondrio;6,348
103;Caltanissetta;6,081
104;Vibo Valentia;5,271
105;Ragusa;3,952
