POS.;PROVINCIA;VALORE
1;Milano;466,881
2;Venezia;416,927
3;Roma;327,903
4;Genova;307,562
5;Bologna;203,592
6;Trieste;199,971
7;Firenze;173,095
8;Torino;165,729
9;Cagliari;146,749
10;Parma;114,5
11;Brescia;108,457
12;Udine;108,344
13;Verona;103,364
14;Trento;100,826
15;Bergamo;88,266
16;Sassari;81,472
17;Pavia;78,388
18;Siena;77,681
19;Piacenza;74,915
20;Rimini;73,922
21;Padova;73,759
22;Modena;72,99
23;Ancona;70,816
24;La Spezia;70,109
25;Bolzano;68,055
26;Reggio Emilia;65,666
27;Matera;59,525
28;Treviso;53,368
29;Vicenza;50,791
30;Caserta;48,518
31;Como;46,58
32;Cesena;46,398
33;Perugia;46,34
34;Novara;45,682
35;Ferrara;45,504
36;L'Aquila;45,054
37;Campobasso;44,08
38;Bari;41,896
39;Enna;41,521
40;Palermo;40,002
41;Messina;39,308
42;Terni;38,235
43;Napoli;38,212
44;Savona;37,487
45;Forlì;36,171
46;Ravenna;35,52
47;Cuneo;35,476
48;Pordenone;35,306
49;Teramo;34,753
50;Salerno;33,89
51;Reggio Calabria;32,516
52;Monza;31,127
53;Mantova;30,275
54;Taranto;28,683
55;Varese;28,386
56;Avellino;26,591
57;Livorno;24,796
58;Pesaro;23,764
59;Pisa;23,699
60;Verbania;23,264
61;Nuoro;23,192
62;Pescara;22,668
63;Lucca;22,606
64;Catania;21,392
65;Trapani;21,128
66;Asti;20,843
67;Macerata;20,18
68;Potenza;19,615
69;Arezzo;19,233
70;Brindisi;18,895
71;Prato;18,263
72;Chieti;17,515
73;Belluno;17,473
74;Rieti;17,359
75;Massa;16,239
76;Isernia;15,855
77;Grosseto;15,331
78;Lecco;15,261
79;Gorizia;14,932
80;Benevento;14,358
81;Frosinone;14,21
82;Cosenza;11,531
83;Ascoli Piceno;11,467
84;Aosta;11,299
85;Catanzaro;10,987
86;Oristano;10,84
87;Latina;8,228
88;Alessandria;7,816
89;Rovigo;7,681
90;Foggia;7,637
91;Viterbo;7,524
92;Ragusa;7,36
93;Lodi;6,96
94;Pistoia;6,686
95;Vercelli;6,587
96;Cremona;6,361
97;Agrigento;6,2
98;Lecce;6,149
99;Caltanissetta;6,028
100;Biella;5,618
101;Imperia;5,193
102;Sondrio;1,946
103;Crotone;0,832
104;Siracusa;0
105;Vibo Valentia;0
