POS.;PROVINCIA;VALORE
1;Reggio Emilia;45,748
2;Cremona;33,547
3;Cuneo;32,474
4;Lodi;29,17
5;Cesena;28,51
6;Mantova;28,463
7;Ravenna;27,137
8;Verbania;25,336
9;Cosenza;24,653
10;Vicenza;23,291
11;Treviso;23,249
12;Brescia;22,15
13;Pesaro;21,188
14;Sondrio;20,802
15;Ferrara;20,584
16;Vercelli;19,693
17;Oristano;19,549
18;Modena;19,388
19;Benevento;19,353
20;Piacenza;18,818
21;Parma;18,252
22;Padova;18,084
23;Forlì;17,606
24;Pordenone;17,178
25;Pisa;17,03
26;Bolzano;16,805
27;Bergamo;16,609
28;Grosseto;16,44
29;Belluno;16,054
30;Rimini;15,668
31;Rovigo;15,454
32;Frosinone;13,55
33;Bologna;12,401
34;Udine;12,244
35;Verona;11,996
36;Rieti;11,57
37;Venezia;11,566
38;Pavia;11,114
39;Lecce;10,949
40;Aosta;9,158
41;Trento;8,672
42;Biella;8,504
43;Asti;8,34
44;Foggia;7,509
45;Pistoia;7,385
46;Gorizia;7,246
47;Firenze;7,23
48;Catanzaro;7,091
49;Torino;6,931
50;Caserta;6,304
51;Monza;6,157
52;Cagliari;6,052
53;Pescara;5,67
54;Arezzo;5,487
55;Lucca;4,961
56;Massa;4,961
57;Novara;4,935
58;Bari;4,778
59;Milano;4,747
60;Terni;4,694
61;Perugia;4,635
62;Prato;4,571
63;Latina;3,735
64;Taranto;3,505
65;Isernia;3,468
66;Varese;3,376
67;Lecco;3,068
68;La Spezia;2,988
69;Savona;2,864
70;Livorno;2,509
71;Crotone;2,42
72;Catania;2,195
73;Siracusa;2,194
74;Brindisi;2,19
75;Ragusa;2,149
76;Trieste;2,148
77;Ascoli Piceno;1,984
78;Palermo;1,915
79;Imperia;1,911
80;Teramo;1,87
81;Como;1,738
82;Matera;1,734
83;Siena;1,724
84;Macerata;1,45
85;Agrigento;1,39
86;Roma;1,314
87;Genova;1,264
88;Trapani;1,219
89;Ancona;0,938
90;Messina;0,925
91;Caltanissetta;0,918
92;Avellino;0,775
93;Sassari;0,465
94;Reggio Calabria;0,456
95;Napoli;0,429
96;L'Aquila;0,429
97;Nuoro;0,395
98;Viterbo;0,353
99;Enna;0,262
100;Salerno;0,244
101;Alessandria;0
102;Campobasso;0
103;Chieti;0
104;Potenza;0
105;Vibo Valentia;0
