POS.;PROVINCIA;VALORE
1;Ferrara;87,59
2;Treviso;87,452
3;Pordenone;86,421
4;Mantova;85,686
5;Reggio Emilia;84,667
6;Trento;83,056
7;Belluno;82,8
8;Parma;81,4
9;Oristano;79,9
10;Lucca;79,733
11;Verbania;79,367
12;Forlì;79,2
13;La Spezia;77
14;Nuoro;76,988
15;Lodi;76,005
16;Macerata;75,733
17;Vicenza;74,024
18;Cremona;73,4
19;Terni;73,171
20;Cesena;72,724
21;Vercelli;72,5
22;Agrigento;72,147
23;Biella;72,041
24;Novara;72
25;Prato;71,925
26;Rimini;71,73
27;Brescia;71,438
28;Piacenza;70,907
29;Chieti;70,902
30;Catanzaro;70,716
31;Udine;70,687
32;Perugia;70,398
33;Como;70,383
34;Frosinone;70,243
35;Ragusa;70,032
36;Aosta;69,655
37;Bergamo;69,6
38;Cuneo;69,5
39;Teramo;69,378
40;Cagliari;68,903
41;Imperia;67,87
42;Avellino;67,656
43;Monza;67,42
44;Asti;66,894
45;Pesaro;66,5
46;Bolzano;66,277
47;Livorno;65,858
48;Lecco;65,826
49;Benevento;65,716
50;Pavia;65,196
51;Gorizia;64,298
52;Varese;64,161
53;Trapani;63,876
54;Ascoli Piceno;63,8
55;Modena;63,338
56;Pisa;63,266
57;Rovigo;62,85
58;Potenza;62,818
59;Venezia;62,6
60;Ravenna;62,149
61;Lecce;61,6
62;Salerno;60,368
63;Cosenza;59,546
64;Enna;59,054
65;Milano;58,538
66;Padova;57,1
67;Rieti;57
68;Sassari;56,93
69;Bologna;55,345
70;Sondrio;54,918
71;Ancona;52,2
72;Isernia;52,095
73;Firenze;51,569
74;Caserta;51,308
75;Torino;50,773
76;Verona;50
77;Arezzo;49,701
78;Pescara;47,724
79;Brindisi;47,6
80;Vibo Valentia;46,3
81;Siena;45,841
82;Alessandria;45,725
83;Roma;45,357
84;Trieste;44,927
85;Caltanissetta;43,854
86;Grosseto;43,821
87;Viterbo;43,583
88;Savona;42,254
89;Siracusa;41,94
90;Bari;41,362
91;Massa;38,563
92;Reggio Calabria;37,585
93;Pistoia;37,381
94;Napoli;36,21
95;Genova;35,223
96;Matera;34,4
97;Campobasso;33,579
98;Latina;29,152
99;Taranto;25,15
100;Messina;23,217
101;Foggia;22
102;Palermo;19,229
103;Crotone;13,035
104;L'Aquila;9,179
105;Catania;9,089
