POS.;PROVINCIA;VALORE
1;Reggio Calabria;364,116
2;Potenza;390,167
3;Enna;397,168
4;Avellino;398,421
5;Foggia;404,696
6;Nuoro;406,497
7;Belluno;408,423
8;Catanzaro;413,812
9;Vibo Valentia;414,45
10;Teramo;414,699
11;Monza;416,316
12;Cosenza;419,418
13;Benevento;420,321
14;Lodi;422,601
15;Campobasso;425,81
16;Biella;428,005
17;Novara;430,443
18;Milano;433,372
19;Isernia;434,218
20;Como;435,159
21;Terni;437,472
22;Trento;437,583
23;Matera;438,206
24;Agrigento;447,658
25;Imperia;447,923
26;Trapani;450,526
27;Forlì;452,19
28;Aosta;453,922
29;Lecco;454,097
30;Macerata;454,803
31;Treviso;455,645
32;Cagliari;458,608
33;Trieste;462,803
34;Asti;468,19
35;Salerno;468,942
36;Sassari;472,298
37;Rieti;472,821
38;Ragusa;474,49
39;Varese;476,13
40;Bolzano;477,431
41;Torino;478,853
42;Ascoli Piceno;482,92
43;Frosinone;484,508
44;Chieti;485,362
45;L'Aquila;486,045
46;Cuneo;486,607
47;Bergamo;486,65
48;La Spezia;487,098
49;Gorizia;493,115
50;Cremona;494,215
51;Messina;495,943
52;Crotone;495,976
53;Genova;496,885
54;Caserta;496,902
55;Sondrio;498,852
56;Pordenone;500,149
57;Lecce;501,617
58;Verona;504,98
59;Livorno;505,698
60;Ancona;505,943
61;Siracusa;513,746
62;Mantova;515,003
63;Viterbo;519,042
64;Oristano;524,175
65;Bologna;530,777
66;Taranto;534,103
67;Perugia;534,764
68;Napoli;538,062
69;Savona;539,691
70;Latina;540,642
71;Udine;544,719
72;Pavia;545,515
73;Caltanissetta;546,311
74;Pescara;549,454
75;Parma;555,999
76;Padova;562,08
77;Roma;564,585
78;Alessandria;572,06
79;Venezia;573,493
80;Brescia;575,352
81;Bari;579,464
82;Prato;586,048
83;Rovigo;589,238
84;Grosseto;590,507
85;Siena;592,578
86;Arezzo;592,884
87;Vercelli;593,27
88;Palermo;593,293
89;Firenze;598,129
90;Lucca;598,16
91;Pistoia;606,148
92;Pesaro;609,073
93;Verbania;609,686
94;Vicenza;613,304
95;Ferrara;625,756
96;Catania;650,743
97;Modena;680,03
98;Reggio Emilia;680,053
99;Pisa;687,841
100;Rimini;696,633
101;Cesena;705,215
102;Ravenna;714,869
103;Piacenza;745,288
104;Massa;757,649
105;Brindisi;0
