POS.;PROVINCIA;VALORE
1;Padova;30,52
2;Oristano;27,489
3;Pesaro;27,224
4;Verona;26,534
5;Cosenza;19,5
6;Lodi;17,753
7;Pordenone;15,658
8;Trento;14,292
9;Como;14,142
10;Cesena;11,529
11;Cremona;11,061
12;Biella;10,836
13;Bergamo;10,67
14;Verbania;10,166
15;Caltanissetta;10,114
16;Ferrara;9,285
17;Reggio Emilia;8,725
18;Rimini;8,129
19;Ragusa;7,789
20;Avellino;7,727
21;Teramo;7,677
22;Viterbo;7,194
23;Perugia;7,17
24;Forlì;7,052
25;Imperia;6,462
26;Sondrio;6,312
27;Macerata;6,295
28;Cagliari;6,181
29;Bologna;6,061
30;L'Aquila;5,66
31;Matera;4,926
32;Gorizia;4,6
33;Prato;4,408
34;Asti;4,234
35;Bari;4,111
36;Udine;4,061
37;Bolzano;3,889
38;Parma;3,761
39;Ascoli Piceno;3,544
40;Vicenza;3,303
41;Benevento;3,24
42;Modena;3,17
43;Piacenza;3,115
44;Aosta;2,942
45;Treviso;2,928
46;Catania;2,915
47;La Spezia;2,851
48;Milano;2,662
49;Agrigento;2,659
50;Sassari;2,583
51;Chieti;2,542
52;Enna;2,536
53;Genova;2,518
54;Novara;2,433
55;Terni;2,359
56;Frosinone;2,273
57;Messina;2,138
58;Siena;2,085
59;Trieste;2,08
60;Ravenna;2,056
61;Foggia;2,023
62;Pavia;1,987
63;Savona;1,892
64;Potenza;1,815
65;Belluno;1,813
66;Catanzaro;1,781
67;Varese;1,666
68;Pisa;1,634
69;Lecco;1,579
70;Pescara;1,545
71;Arezzo;1,468
72;Pistoia;1,455
73;Campobasso;1,358
74;Livorno;1,335
75;Venezia;1,217
76;Cuneo;1,211
77;Firenze;1,21
78;Massa;1,175
79;Caserta;1,131
80;Taranto;1,13
81;Trapani;1,073
82;Mantova;0,866
83;Latina;0,77
84;Reggio Calabria;0,753
85;Vercelli;0,654
86;Grosseto;0,6
87;Monza;0,449
88;Torino;0,386
89;Napoli;0,32
90;Palermo;0,287
91;Siracusa;0,263
92;Rovigo;0,258
93;Ancona;0,202
94;Brescia;0,168
95;Lucca;0,113
96;Alessandria;0,068
97;Salerno;0,021
98;Brindisi;0
99;Crotone;0
100;Isernia;0
101;Lecce;0
102;Nuoro;0
103;Rieti;0
104;Roma;0
105;Vibo Valentia;0
