POS.;PROVINCIA;VALORE
1;Venezia;43,214
2;Genova;48,466
3;Milano;49,432
4;La Spezia;52,726
5;Bologna;52,853
6;Trieste;54,252
7;Firenze;55,561
8;Livorno;56,017
9;Taranto;58,232
10;Savona;58,257
11;Bari;58,539
12;Napoli;58,628
13;Pavia;59,345
14;Sondrio;59,757
15;Lodi;59,779
16;Foggia;59,787
17;Salerno;59,846
18;Parma;60,504
19;Treviso;60,697
20;Lecco;60,865
21;Padova;61,053
22;Imperia;61,402
23;Palermo;61,422
24;Crotone;61,582
25;Prato;61,877
26;Pescara;61,937
27;Novara;62,162
28;Brescia;62,28
29;Rimini;62,38
30;Bergamo;62,475
31;Cremona;62,573
32;Como;62,655
33;Ancona;62,733
34;Caserta;62,767
35;Pisa;62,805
36;Piacenza;63,098
37;Brindisi;63,554
38;Roma;63,653
39;Aosta;64
40;Trento;64
41;Avellino;64,166
42;Mantova;64,223
43;Pesaro;64,279
44;Monza;64,356
45;Messina;64,397
46;Trapani;64,41
47;Bolzano;64,43
48;Massa;64,595
49;Vicenza;64,727
50;Verona;64,78
51;Alessandria;64,853
52;Pistoia;64,902
53;Matera;64,941
54;Reggio Emilia;64,958
55;Ferrara;64,973
56;Torino;65,365
57;Forlì;65,475
58;Varese;65,544
59;Reggio Calabria;65,942
60;Modena;66,098
61;Cesena;66,21
62;Grosseto;66,28
63;Benevento;66,347
64;Chieti;66,511
65;Siena;66,645
66;Sassari;66,732
67;Udine;66,761
68;Vercelli;67,043
69;Verbania;67,363
70;Terni;67,436
71;Cagliari;67,561
72;Lucca;68,097
73;Asti;68,637
74;Gorizia;69,279
75;Arezzo;69,316
76;Macerata;69,668
77;Catanzaro;69,789
78;Enna;70,035
79;Rovigo;70,043
80;Latina;70,271
81;Siracusa;70,59
82;Cosenza;70,655
83;Ravenna;70,976
84;Caltanissetta;71,462
85;Lecce;71,571
86;Belluno;71,663
87;Oristano;71,698
88;Teramo;71,753
89;Ascoli Piceno;71,918
90;Biella;71,992
91;Pordenone;72,997
92;Rieti;73,708
93;Ragusa;74,065
94;Campobasso;74,2
95;Perugia;75,421
96;Cuneo;75,443
97;Agrigento;75,896
98;Nuoro;76,271
99;Potenza;76,755
100;L'Aquila;77,032
101;Viterbo;77,271
102;Catania;77,52
103;Vibo Valentia;78,249
104;Isernia;79,296
105;Frosinone;80,207
