POS.;PROVINCIA;VALORE
1;Milano;10
2;Monza;9,5
3;Bolzano;9,5
4;Bologna;9,5
5;Bergamo;9,5
6;Napoli;9
7;Trieste;8,5
8;Trento;8,5
9;Roma;8,5
10;Rimini;8,5
11;Prato;8,5
12;Brescia;8,5
13;Treviso;8
14;Siena;8
15;Pistoia;8
16;Pesaro;8
17;Parma;8
18;Palermo;8
19;Modena;8
20;Lodi;8
21;Lecco;8
22;Como;8
23;Cagliari;8
24;Varese;7,5
25;Torino;7,5
26;Pescara;7,5
27;Pavia;7,5
28;Lucca;7,5
29;Latina;7,5
30;Imperia;7,5
31;Genova;7,5
32;Cosenza;7,5
33;Ancona;7,5
34;Piacenza;7
35;La Spezia;7
36;Cremona;7
37;Sondrio;6,5
38;Savona;6,5
39;Reggio Emilia;6,5
40;Pordenone;6,5
41;Livorno;6,5
42;Crotone;6,5
43;Belluno;6,5
44;Verona;6
45;Udine;6
46;Padova;6
47;Mantova;6
48;Firenze;6
49;Bari;6
50;Aosta;6
51;Salerno;5,5
52;Reggio Calabria;5,5
53;Pisa;5,5
54;Perugia;5,5
55;Grosseto;5,5
56;Cesena;5,5
57;Biella;5,5
58;Avellino;5,5
59;Terni;5
60;Forlì;5
61;Catania;5
62;Caserta;5
63;Campobasso;5
64;Verbania;4,5
65;Novara;4,5
66;Messina;4,5
67;Cuneo;4,5
68;Potenza;4
69;Ferrara;4
70;Vicenza;3,5
71;Catanzaro;3,5
72;Vibo Valentia;3
73;Vercelli;3
74;Venezia;3
75;Teramo;3
76;Taranto;3
77;Siracusa;3
78;Nuoro;3
79;Macerata;3
80;Isernia;3
81;Foggia;3
82;Chieti;3
83;Asti;3
84;Arezzo;3
85;Trapani;2,5
86;Sassari;2,5
87;Rieti;2,5
88;Massa;2,5
89;L'Aquila;2,5
90;Gorizia;2,5
91;Frosinone;2,5
92;Benevento;2,5
93;Ascoli Piceno;2,5
94;Alessandria;2,5
95;Viterbo;2
96;Rovigo;2
97;Oristano;2
98;Matera;2
99;Lecce;2
100;Ravenna;1,5
101;Caltanissetta;1,5
102;Agrigento;1,5
103;Ragusa;0,5
104;Enna;0,5
105;Brindisi;0
