POS.;PROVINCIA;VALORE
1;Matera;995,062
2;Trento;399,504
3;Rieti;337,235
4;Sondrio;298,157
5;Potenza;158,079
6;Terni;151,932
7;Gorizia;139,565
8;Pordenone;110,52
9;Verbania;109,898
10;Reggio Calabria;108,248
11;Parma;96,173
12;Agrigento;94,905
13;Como;67,647
14;Perugia;63,299
15;Ferrara;61,81
16;Trieste;61,716
17;Reggio Emilia;60,025
18;Lodi;58,583
19;Monza;58,306
20;Catanzaro;57,49
21;Cagliari;56,19
22;Ancona;52,253
23;Oristano;52,201
24;Vercelli;50,744
25;Modena;46,317
26;Ravenna;45,557
27;Venezia;42,433
28;Mantova;40,285
29;Pescara;38,849
30;Padova;36,76
31;Grosseto;33,709
32;Cuneo;33,669
33;Nuoro;33,439
34;Rovigo;32,416
35;Prato;32,25
36;Cremona;31,569
37;Verona;31,552
38;Arezzo;29,298
39;Siena;28,259
40;Pesaro;27,927
41;Asti;27,568
42;L'Aquila;27,276
43;Piacenza;27,169
44;Cosenza;26,155
45;Brescia;25,994
46;Vicenza;25,85
47;Bergamo;25,354
48;Belluno;25,126
49;Viterbo;25,014
50;Pavia;24,133
51;Forlì;23,933
52;Alessandria;23,514
53;Ragusa;23,318
54;Torino;23,088
55;Pisa;22,434
56;Firenze;22,239
57;Benevento;22,185
58;Bologna;21,812
59;Bolzano;21,806
60;Udine;21,462
61;Pistoia;21,087
62;Genova;21,008
63;Rimini;20,255
64;Macerata;20,148
65;Biella;19,674
66;Varese;19,259
67;Aosta;18,872
68;Salerno;18,737
69;Treviso;18,695
70;Catania;18,324
71;Teramo;18,213
72;Caserta;17,896
73;Milano;17,839
74;Sassari;17,57
75;Lucca;17,405
76;Roma;17,115
77;Frosinone;16,786
78;Novara;16,237
79;Latina;15,87
80;Lecco;15,44
81;Messina;15,171
82;Taranto;14,444
83;Vibo Valentia;12,936
84;Avellino;12,696
85;Massa;12,516
86;Livorno;12,376
87;La Spezia;12,251
88;Enna;12,218
89;Campobasso;12,054
90;Napoli;11,995
91;Brindisi;11,945
92;Palermo;11,743
93;Lecce;9,61
94;Ascoli Piceno;9,588
95;Savona;9,529
96;Bari;9,201
97;Foggia;9,098
98;Caltanissetta;8,326
99;Siracusa;8,241
100;Chieti;7,812
101;Trapani;6,055
102;Imperia;6,023
103;Isernia;4,873
104;Crotone;3,739
105;Cesena;0
