POS.;PROVINCIA;VALORE
1;Cosenza;2,485
2;Catanzaro;2,702
3;Benevento;3,288
4;Caserta;3,311
5;Teramo;3,384
6;Venezia;3,408
7;Belluno;3,492
8;Reggio Calabria;3,511
9;Campobasso;3,532
10;Caltanissetta;3,534
11;Chieti;3,559
12;Nuoro;3,562
13;Sondrio;3,665
14;Napoli;3,72
15;Vibo Valentia;3,762
16;Crotone;3,843
17;Isernia;3,862
18;Perugia;3,907
19;Palermo;3,917
20;Gorizia;3,973
21;Agrigento;4,086
22;Lodi;4,173
23;Potenza;4,213
24;Vercelli;4,251
25;Treviso;4,309
26;Aosta;4,4
27;Ragusa;4,545
28;Taranto;4,563
29;Cagliari;4,603
30;Udine;4,692
31;Avellino;4,692
32;Pordenone;4,693
33;Terni;4,75
34;Trento;4,764
35;L'Aquila;4,818
36;Pescara;4,822
37;Ferrara;4,838
38;Verbania;4,85
39;Messina;4,997
40;Oristano;5,003
41;Rieti;5,022
42;Vicenza;5,032
43;Biella;5,061
44;Frosinone;5,08
45;Salerno;5,137
46;Brescia;5,146
47;Pistoia;5,15
48;Torino;5,153
49;Trapani;5,18
50;Rovigo;5,216
51;Macerata;5,225
52;Trieste;5,231
53;Enna;5,263
54;Arezzo;5,386
55;Novara;5,416
56;Matera;5,423
57;Siracusa;5,462
58;Sassari;5,463
59;Asti;5,555
60;Varese;5,58
61;Latina;5,623
62;Parma;5,704
63;Catania;5,722
64;Roma;5,765
65;Mantova;5,935
66;Prato;5,977
67;Lecco;5,99
68;Cesena;5,995
69;Forlì;6,103
70;Imperia;6,218
71;Ancona;6,256
72;Verona;6,256
73;La Spezia;6,29
74;Bolzano;6,347
75;Bologna;6,383
76;Siena;6,403
77;Cuneo;6,449
78;Reggio Emilia;6,555
79;Alessandria;6,558
80;Lucca;6,575
81;Ravenna;6,606
82;Lecce;6,715
83;Grosseto;6,726
84;Modena;6,804
85;Pesaro;6,931
86;Padova;6,956
87;Monza;7,082
88;Como;7,098
89;Foggia;7,1
90;Piacenza;7,106
91;Cremona;7,256
92;Massa;7,296
93;Brindisi;7,394
94;Savona;7,496
95;Ascoli Piceno;7,678
96;Viterbo;7,702
97;Milano;7,71
98;Livorno;7,742
99;Bari;7,91
100;Rimini;7,916
101;Pisa;7,986
102;Firenze;8,053
103;Pavia;8,44
104;Genova;8,543
105;Bergamo;10,227
