PROVINCIA,Classifica finale,Alberi pubb.,Isole pedonali,Solare pubb.,Uso eff. suolo,Verde urbano,Biossido di azoto,Ozono,Pm 10,Consumi idrici,Dispersione idrica,Efficienza depurazione,Offerta TP,Passaggeri TP,Piste ciclabili,Tasso di motorizzazione,Vittime di strada,Rifiuti differenziati,Rifiuti prodotti
Trento,84.71,16614,0.16,14292,8.5,399504,32.5,44,20,151268,15,99347,39893,100826,8672,64,4764,83056,437583
Reggio Emilia,77.89,50423,517,8725,6.5,60025,23.5,42,29.5,137.94,24337,83189,24666,65666,45748,64958,6555,84667,680053
Mantova,75.14,32551,274,866,6,40285,24,36,30333,255.82,13.42,99001,27452,30275,28463,64223,5935,85686,515003
Cosenza,74.21,36,1626,19.5,7.5,26155,16.8,6,19.3,144863,22642,100,27759,11531,24653,70655,2485,59546,419418
Pordenone,73.3,35815,164,15658,6.5,110.52,20.6,25.5,26.55,172539,10303,75977,18924,35306,17178,72997,4693,86421,500149
Bolzano,71.7,20101,278,3889,9.5,21806,28.6,6,17,140823,31,100,37448,68055,16805,64.43,6347,66277,477431
Parma,68.53,21718,792,3761,8,96173,23.5,38,29,114.88,37999,97.6,38008,114.5,18252,60504,5704,81.4,555999
Belluno,68.31,0,328,1813,6.5,25126,19,14,18,130502,70,85906,18.18,17473,16054,71663,3492,82.8,408423
Treviso,67.73,23.9,227,2928,8,18695,22.5,51,32.5,102.01,27486,33279,35108,53368,23249,60697,4309,87452,455645
Ferrara,66.77,37799,408,9285,4,61.81,21833,34.5,29667,145588,37184,88361,17557,45504,20584,64973,4838,87.59,625756
Rimini,65.92,19411,1143,8129,8.5,20255,25.5,43,29,143854,23874,94968,32748,73922,15668,62.38,7916,71.73,696633
Trieste,65.25,102426,513,2.08,8.5,61716,21075,29,18.25,163752,0,100,55816,199971,2148,54252,5231,44927,462803
Udine,65.22,0,54,4061,6,21462,19.45,33,20.5,163908,24243,93751,29055,108344,12244,66761,4692,70687,544719
Cuneo,63.98,190473,427,1211,4.5,33669,21,56,19,150849,31655,88588,17333,35476,32474,75443,6449,69.5,486607
Macerata,63.08,20107,213,6295,3,20148,10.57,16,16.36,132387,9.78,87131,18291,20.18,1.45,69668,5225,75733,454803
Cagliari,63.07,16352,244,6181,8,56.19,22575,1667,24.2,158708,53514,97296,42652,146749,6052,67561,4603,68903,458608
