codice,pro_com,desc_com,CSN,CDX,AZIONE - ITALIA VIVA - CALENDA,MOVIMENTO 5 STELLE,UNIONE POPOLARE CON DE MAGISTRIS,ITALEXIT PER L'ITALIA,ITALIA SOVRANA E POPOLARE,VITA,MASTELLA NOI DI CENTRO EUROPEISTI,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,FREE,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,SUD CHIAMA NORD,PARTITO COMUNISTA ITALIANO,PARTITO DELLA FOLLIA CREATIVA,FORZA DEL POPOLO,SÜDTIROLER VOLKSPARTEI (SVP) - PATT,Total
0111-081-2620,001272,TORINO,149259,132613,41947,48183,7066,7812,6040,3203,0,0,0,0,0,0,0,0,0,396123
0113-081-0080,001008,ALPIGNANO,2527,3455,653,1215,107,253,180,123,0,0,0,0,0,0,0,0,0,8513
0113-081-0280,001028,BORGARO TORINESE,1676,2623,509,941,71,174,101,55,0,0,0,0,0,0,0,0,0,6150
0113-081-0450,001045,BUTTIGLIERA ALTA,933,1472,313,496,59,104,50,46,0,0,0,0,0,0,0,0,0,3473
0113-081-0620,001063,CASELLE TORINESE,1853,2892,444,1066,84,173,85,44,0,0,0,0,0,0,0,0,0,6641
0113-081-0880,001090,COLLEGNO,9148,9090,2229,3956,377,638,369,252,0,0,0,0,0,0,0,0,0,26059
0113-081-0970,001099,DRUENTO,1469,2009,323,624,75,99,65,56,0,0,0,0,0,0,0,0,0,4720
0113-081-1180,001120,GRUGLIASCO,6966,6971,1467,3043,308,526,312,167,0,0,0,0,0,0,0,0,0,19760
0113-081-1280,001130,LEINI,1968,3946,536,1014,98,180,89,67,0,0,0,0,0,0,0,0,0,7898
0113-081-1415,001316,MAPPANO,1049,1798,245,627,54,90,74,27,0,0,0,0,0,0,0,0,0,3964
0113-081-1850,001189,PIANEZZA,2477,3544,662,1056,104,282,165,118,0,0,0,0,0,0,0,0,0,8408
0113-081-2030,001211,REANO,227,447,78,115,18,28,20,10,0,0,0,0,0,0,0,0,0,943
0113-081-2110,001219,RIVOLI,8189,9641,2326,3543,329,663,375,221,0,0,0,0,0,0,0,0,0,25287
0113-081-2190,001228,ROSTA,823,1186,354,359,40,82,41,32,0,0,0,0,0,0,0,0,0,2917
0113-081-2270,001236,SAN BENIGNO CANAVESE,788,1358,244,421,22,81,52,30,0,0,0,0,0,0,0,0,0,2996
