codice;pro_com;nome;nome_lower;PARTITO DEMOCRATICO;+EUROPA;ITALIA EUROPA INSIEME;CIVICA POPOLARE LORENZIN;LEGA;FORZA ITALIA;FRATELLI D'ITALIA CON GIORGIA MELONI;NOI CON L'ITALIA - UDC;MOVIMENTO 5 STELLE;LIBERI E UGUALI;POTERE AL POPOLO!;CASAPOUND ITALIA;IL POPOLO DELLA FAMIGLIA;PARTITO VALORE UMANO;ITALIA AGLI ITALIANI;10 VOLTE MEGLIO;PER UNA SINISTRA RIVOLUZIONARIA;PARTITO REPUBBLICANO ITALIANO - ALA;GRANDE NORD;BLOCCO NAZIONALE PER LE LIBERTA';ITALIA NEL CUORE;SIAMO;LISTA DEL POPOLO PER LA COSTITUZIONE;PATTO PER L'AUTONOMIA;RINASCIMENTO MIR;PARTITO COMUNISTA;AUTODETERMINATZIONE;POUR TOUS PER TUTTI PE TCHEUT;PD-UV-UVP-EPAV;RISPOSTA CIVICA;FI -FRAT. D'IT. -MOV.NUOVA VALLE D'AOSTA;SVP - PATT;Total;CSIN;CSINPIU;CDES;PARTITO DEMOCRATICO 2013;FORZA ITALIA 2013;LEGA 2013;MOVIMENTO 5 STELLE 2013
01110812620;1272;TORINO - PIEMONTE 1 - 01 - 01;Torino;116311;29305;2353;2036;74849;53707;16965;2576;105133;23292;6995;4301;2837;1155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;441815;150005;173297;148097;145696;85825;12019;128149
01150810080;1008;ALPIGNANO;Alpignano;2073;406;37;39;1683;1095;340;41;3404;425;110;93;66;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9845;2555;2980;3159;2935;1667;290;3581
01150810240;1024;BEINASCO;Beinasco;2508;288;47;36;1832;1091;273;36;3729;436;121;84;35;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10539;2879;3315;3232;3514;1722;288;3943
01150810380;1038;BRUINO;Bruino;1091;135;60;17;992;658;172;11;1705;215;53;51;25;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5199;1303;1518;1833;1359;1122;195;1836
01150810880;1090;COLLEGNO;Collegno;7076;1062;104;130;4798;2518;891;83;9472;1864;259;261;185;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28799;8372;10236;8290;9731;4080;856;10272
01150810970;1099;DRUENTO;Druento;1076;181;13;16;1105;564;171;19;1557;206;46;50;50;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5064;1286;1492;1859;1433;941;158;1741
01150811180;1120;GRUGLIASCO;Grugliasco;5630;842;85;73;3611;2002;640;75;7792;1045;261;186;156;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22472;6630;7675;6328;7872;3126;491;8338
01150811680;1171;ORBASSANO;Orbassano;2771;353;62;37;2522;1643;455;38;4969;548;177;132;66;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13799;3223;3771;4658;3898;2497;425;5025
01150811850;1189;PIANEZZA;Pianezza;1876;323;37;40;1831;1026;305;109;2849;337;68;83;72;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8989;2276;2613;3271;2359;1539;304;3049
01150812060;1214;RIVALTA DI TORINO;Rivalta di Torino;2272;407;35;47;2192;1382;404;35;4181;509;98;103;73;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11764;2761;3270;4013;3025;2053;342;4497
