id,voti,voti_nona,idComune,value,desc,PRO_COM,PRO_COM_T,COMUNE,COMUNE_U,idpartizione,nlista,nlistamacro,idpartizione_r,nraggrup,nome,nome_breve,nome2,nome_breve2,immagine,tipo_lista,blocco_ins,idComune
2,13,0,100,100,TRECASTELLI,42050,042050,Trecastelli,TRECASTELLI,0,1,2,0,1,VOX ITALIA MARCHE,VOX ITALIA MARCHE,VOX ITALIA MARCHE,VOX ITALIA MARCHE,2.png,N,N,100
3,19,0,100,100,TRECASTELLI,42050,042050,Trecastelli,TRECASTELLI,0,2,3,0,2,MOVIMENTO 3V LIBERTA' DI SCELTA,MOVIMENTO 3V,MOVIMENTO 3V LIBERTA' DI SCELTA,MOVIMENTO 3V,3.png,N,N,100
16,695,0,100,100,TRECASTELLI,42050,042050,Trecastelli,TRECASTELLI,0,3,16,0,3,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,16.png,N,N,100
14,68,0,100,100,TRECASTELLI,42050,042050,Trecastelli,TRECASTELLI,0,4,14,0,3,ITALIA VIVA,ITALIA VIVA,ITALIA VIVA,ITALIA VIVA,14.png,N,N,100
15,24,0,100,100,TRECASTELLI,42050,042050,Trecastelli,TRECASTELLI,0,5,15,0,3,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,15.png,N,N,100
17,109,0,100,100,TRECASTELLI,42050,042050,Trecastelli,TRECASTELLI,0,6,17,0,3,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,17.png,N,N,100
18,79,0,100,100,TRECASTELLI,42050,042050,Trecastelli,TRECASTELLI,0,7,18,0,3,RINASCI MARCHE,RINASCI MARCHE,RINASCI MARCHE,RINASCI MARCHE,18.png,N,N,100
13,121,0,100,100,TRECASTELLI,42050,042050,Trecastelli,TRECASTELLI,0,8,13,0,3,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,13.png,N,N,100
12,184,0,100,100,TRECASTELLI,42050,042050,Trecastelli,TRECASTELLI,0,9,12,0,4,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,12.png,N,N,100
11,63,0,100,100,TRECASTELLI,42050,042050,Trecastelli,TRECASTELLI,0,10,11,0,5,DIPENDE DA NOI,DIPENDE DA NOI,DIPENDE DA NOI,DIPENDE DA NOI,11.png,N,N,100
4,41,0,100,100,TRECASTELLI,42050,042050,Trecastelli,TRECASTELLI,0,11,4,0,6,COMUNISTA!,COMUNISTA!,COMUNISTA!,COMUNISTA!,4.png,N,N,100
