"Tassi generici del movimento anagrafico, anni 2022/2041, scenario mediano, per 1.000 abitanti"
"Anno";"Codice comune";"Comune";"Codice provincia";"Provincia";"Tasso di natalità";"Tasso di mortalità";"Tasso migratorio netto";"Tasso totale di crescita"
2022;"078003";"Acri";"078";"Cosenza";6;13,4;-4,6;-12
2022;"078010";"Amantea";"078";"Cosenza";6,9;11,5;6,2;1,7
2022;"080007";"Bagnara Calabra";"080";"Reggio di Calabria";8,1;13,2;-4,4;-9,5
2022;"078015";"Belvedere Marittimo";"078";"Cosenza";5,4;13;9,7;2,1
2022;"078017";"Bisignano";"078";"Cosenza";8;12,5;1,5;-2,9
2022;"079011";"Borgia";"079";"Catanzaro";7,7;11,2;-4,4;-7,9
2022;"079012";"Botricello";"079";"Catanzaro";7,7;10,1;-0,8;-3,1
2022;"080012";"Bovalino";"080";"Reggio di Calabria";10,4;12;2,5;0,8
2022;"078025";"Cariati";"078";"Cosenza";7,3;12,1;-2,3;-7,1
2022;"078156";"Casali del Manco";"078";"Cosenza";7,3;12,6;-3,7;-9
2022;"078029";"Cassano all'Ionio";"078";"Cosenza";7,7;12,8;-1,3;-6,4
2022;"078031";"Castrolibero";"078";"Cosenza";6,3;10,2;-5,1;-9
2022;"078033";"Castrovillari";"078";"Cosenza";6,5;12,3;-0,1;-5,9
2022;"079023";"Catanzaro";"079";"Catanzaro";6,8;12;-3,6;-8,9
2022;"080025";"Caulonia";"080";"Reggio di Calabria";7,6;13,7;9,7;3,6
2022;"078040";"Cetraro";"078";"Cosenza";5,8;13,6;3,9;-3,9
2022;"079029";"Chiaravalle Centrale";"079";"Catanzaro";7;15,2;-4,5;-12,7
2022;"080027";"Cinquefrondi";"080";"Reggio di Calabria";8,8;10,2;-2,5;-3,8
2022;"101008";"Cirò Marina";"101";"Crotone";9;10,4;-1,2;-2,6
2022;"080028";"Cittanova";"080";"Reggio di Calabria";8,5;11,9;-1,4;-4,8
2022;"078157";"Corigliano-Rossano";"078";"Cosenza";8,3;9,6;2,5;1,1
2022;"078045";"Cosenza";"078";"Cosenza";6,6;14,1;3,6;-3,9
2022;"101009";"Cotronei";"101";"Crotone";8,4;14,3;3,3;-2,6
2022;"078047";"Crosia";"078";"Cosenza";8,1;8,7;8,5;7,8
2022;"101010";"Crotone";"101";"Crotone";7,5;9,9;0,1;-2,2
2022;"079039";"Curinga";"079";"Catanzaro";7,3;11;2;-1,7
2022;"101012";"Cutro";"101";"Crotone";8,1;13,2;-6,9;-12
2022;"079042";"Davoli";"079";"Catanzaro";6,6;9,9;7,3;3,9
2022;"078048";"Diamante";"078";"Cosenza";5,9;13,4;2,5;-5
2022;"078058";"Fuscaldo";"078";"Cosenza";7,5;11;6;2,5
2022;"080038";"Gioia Tauro";"080";"Reggio di Calabria";8,8;9,7;0;-0,9
2022;"080039";"Gioiosa Ionica";"080";"Reggio di Calabria";8,8;10,5;7;5,2
2022;"079059";"Girifalco";"079";"Catanzaro";7;16;-1,2;-10,2
2022;"101013";"Isola di Capo Rizzuto";"101";"Crotone";10,7;7,2;6,9;10,5
2022;"079160";"Lamezia Terme";"079";"Catanzaro";8;10,4;0,2;-2,3
2022;"080043";"Locri";"080";"Reggio di Calabria";7,7;11,8;1,5;-2,6
2022;"078070";"Luzzi";"078";"Cosenza";7,2;12,7;-1,6;-7,1
2022;"080045";"Marina di Gioiosa Ionica";"080";"Reggio di Calabria";8,2;11,7;-1,9;-5,4
2022;"080050";"Melito di Porto Salvo";"080";"Reggio di Calabria";6,7;12,6;-1,8;-7,7
2022;"078079";"Mendicino";"078";"Cosenza";7,4;9,3;-0,7;-2,6
2022;"101015";"Mesoraca";"101";"Crotone";8,1;14,1;-9,5;-15,6
2022;"102021";"Mileto";"102";"Vibo Valentia";8,3;12,9;-1,7;-6,3
2022;"078081";"Montalto Uffugo";"078";"Cosenza";10,6;8,4;6,3;8,4
2022;"080053";"Montebello Jonico";"080";"Reggio di Calabria";7;13,8;1,6;-5,2
2022;"079081";"Montepaone";"079";"Catanzaro";8,1;8,4;14,2;13,8
2022;"080054";"Motta San Giovanni";"080";"Reggio di Calabria";6,1;14,1;-4,2;-12,2
2022;"102025";"Nicotera";"102";"Vibo Valentia";6,6;12,6;2,7;-3,3
2022;"080057";"Palmi";"080";"Reggio di Calabria";8,6;10,8;-2,5;-4,7
2022;"078091";"Paola";"078";"Cosenza";6,6;13,1;-2,1;-8,7
2022;"101017";"Petilia Policastro";"101";"Crotone";8,3;11,7;-4;-7,4
2022;"102027";"Pizzo";"102";"Vibo Valentia";6,1;10,8;4;-0,7
2022;"080061";"Polistena";"080";"Reggio di Calabria";8,1;10,4;-2,1;-4,3
2022;"078101";"Praia a Mare";"078";"Cosenza";5,9;11,9;0,7;-5,3
2022;"080063";"Reggio di Calabria";"080";"Reggio di Calabria";7;12,3;-1,8;-7,1
2022;"078102";"Rende";"078";"Cosenza";7,6;9;12,2;10,8
2022;"080065";"Rizziconi";"080";"Reggio di Calabria";8;10,6;-0,8;-3,4
2022;"101019";"Rocca di Neto";"101";"Crotone";9,6;10,8;-3;-4,1
2022;"080067";"Roccella Ionica";"080";"Reggio di Calabria";6,4;14,2;-0,3;-8,1
2022;"078104";"Roggiano Gravina";"078";"Cosenza";7,2;13;3,2;-2,6
2022;"078105";"Rogliano";"078";"Cosenza";5,9;13;-2;-9,1
2022;"080069";"Rosarno";"080";"Reggio di Calabria";9,5;10;7,5;6,9
2022;"078119";"San Giovanni in Fiore";"078";"Cosenza";6,7;12,3;-5,9;-11,4
2022;"078122";"San Lucido";"078";"Cosenza";7,1;11,2;28,1;24
2022;"078123";"San Marco Argentano";"078";"Cosenza";6,4;13,5;13,8;6,8
2022;"078138";"Scalea";"078";"Cosenza";6,8;9,8;13,3;10,3
2022;"079127";"Sellia Marina";"079";"Catanzaro";8,9;9,1;6,8;6,6
2022;"102037";"Serra San Bruno";"102";"Vibo Valentia";8,5;10,3;-5,2;-7
2022;"080088";"Siderno";"080";"Reggio di Calabria";8,2;10,1;1,8;-0,1
2022;"079137";"Soverato";"079";"Catanzaro";5,2;12,6;1,6;-5,8
2022;"078142";"Spezzano Albanese";"078";"Cosenza";7,9;14,1;0,4;-5,8
2022;"101025";"Strongoli";"101";"Crotone";8,2;10,8;-1,6;-4,3
2022;"080093";"Taurianova";"080";"Reggio di Calabria";8,3;10,7;-3,1;-5,5
2022;"078149";"Tortora";"078";"Cosenza";6,2;9,3;2;-1,2
2022;"078150";"Trebisacce";"078";"Cosenza";6,8;12,8;4,8;-1,2
2022;"102044";"Tropea";"102";"Vibo Valentia";6,1;13,4;-2,7;-10
2022;"102047";"Vibo Valentia";"102";"Vibo Valentia";6,6;11,1;-4,6;-9,1
2022;"078154";"Villapiana";"078";"Cosenza";7,8;13,2;8,9;3,4
