procom;out;in;self;sum;inout;saldo
001008;4584;2890;1070;8544;7474;-1694
001015;216;418;44;678;634;202
001017;138;198;22;358;336;60
001023;158;249;22;429;407;91
001029;176;68;19;263;244;-108
001030;999;230;186;1415;1229;-769
001033;842;818;224;1884;1660;-24
001036;115;4;16;135;119;-111
001043;479;1405;155;2039;1884;926
001047;1715;1284;759;3758;2999;-431
001066;2412;1479;1030;4921;3891;-933
001067;109;3;13;125;112;-106
001082;6248;6608;3425;16281;12856;360
001083;127;12;10;149;139;-115
001090;14528;13803;3241;31572;28331;-725
001091;86;15;16;117;101;-71
001092;178;667;18;863;845;489
001096;307;139;40;486;446;-168
001098;2172;1738;1005;4915;3910;-434
001101;1524;722;332;2578;2246;-802
001102;625;384;117;1126;1009;-241
001105;210;23;28;261;233;-187
001106;661;213;116;990;874;-448
001107;673;495;374;1542;1168;-178
001109;491;318;77;886;809;-173
001125;3438;8626;4077;16141;12064;5188
001129;387;1280;92;1759;1667;893
001130;4502;5803;1638;11943;10305;1301
001132;516;296;115;927;812;-220
001134;265;51;143;459;316;-214
001135;536;733;82;1351;1269;197
001141;172;323;31;526;495;151
001148;1213;301;254;1768;1514;-912
001150;381;269;74;724;650;-112
001156;14625;14508;5161;34294;29133;-117
001159;279;76;46;401;355;-203
001160;956;288;180;1424;1244;-668
001161;1328;334;364;2026;1662;-994
001162;251;55;34;340;306;-196
001166;2166;566;350;3082;2732;-1600
001167;70; ;11;70 11;70 ;-70
001170;468;250;81;799;718;-218
001176;368;575;76;1019;943;207
001177;258;39;32;329;297;-219
001179;127;308;13;448;435;181
001181;1038;737;199;1974;1775;-301
001185;165;20;18;203;185;-145
001187;225;106;37;368;331;-119
001199;701;311;274;1286;1012;-390
001206;226;102;29;357;328;-124
001216;673;562;188;1423;1235;-111
001217;2990;2548;1396;6934;5538;-442
001223;884;350;124;1358;1234;-534
001225;531;477;111;1119;1008;-54
001230;204;14;43;261;218;-190
001231;600;481;83;1164;1081;-119
001233;152;98;12;262;250;-54
001235;509;94;64;667;603;-415
001236;1886;1132;332;3350;3018;-754
001244;676;1034;230;1940;1710;358
001246;864;409;193;1466;1273;-455
001247;243;23;31;297;266;-220
001248;3418;1908;699;6025;5326;-1510
001249;5551;4168;1158;10877;9719;-1383
001265;11597;12037;5236;28870;23634;440
001269;1660;1081;561;3302;2741;-579
001272;71297;138605;212249;422151;209902;67308
001274;183;344;20;547;527;161
001287;750;1388;277;2415;2138;638
001296;78;108;12;198;186;30
001298;122;66;41;229;188;-56
001311;286;79;98;463;365;-207
001312;151;84;19;254;235;-67
001313;175;43;114;332;218;-132
001314;4089;5332;1559;10980;9421;1243
001316;2514;2201;346;5061;4715;-313
001317;337;75;47;459;412;-262
001318;214;55;98;367;269;-159
004180;936;875;698;2509;1811;-61
001013;3327;4560;1130;9017;7887;1233
001024;4919;4974;1183;11076;9893;55
001025;961;292;200;1453;1253;-669
001026;131;29;43;203;160;-102
001028;3731;3405;772;7908;7136;-326
001034;2694;1750;611;5055;4444;-944
001035;1369;904;324;2597;2273;-465
001038;2601;2038;533;5172;4639;-563
001040;438;579;95;1112;1017;141
001041;362;348;97;807;710;-14
001045;1905;1291;360;3556;3196;-614
001048;1640;1682;480;3802;3322;42
001051;1850;1636;297;3783;3486;-214
001053;824;106;125;1055;930;-718
001058;2289;1051;946;4286;3340;-1238
001059;5450;4208;4905;14563;9658;-1242
001060;485;125;121;731;610;-360
001063;4239;4624;1136;9999;8863;385
001065;656;161;138;955;817;-495
001070;1297;757;647;2701;2054;-540
001071;483;160;112;755;643;-323
001078;7823;5404;5015;18242;13227;-2419
001089;929;86;178;1193;1015;-843
001097;2109;752;618;3479;2861;-1357
001099;2716;1407;671;4794;4123;-1309
001104;803;286;123;1212;1089;-517
001110;805;646;155;1606;1451;-159
001111;155;157;23;335;312;2
001115;3511;1129;1911;6551;4640;-2382
001120;10702;14229;2430;27361;24931;3527
001122;217;66;26;309;283;-151
001127;2930;1581;546;5057;4511;-1349
001139;1414;1845;805;4064;3259;431
001140;158;23;16;197;181;-135
001142;325;118;68;511;443;-207
001164;12890;6601;3391;22882;19491;-6289
001168;2125;1589;661;4375;3714;-536
001171;6213;8905;2014;17132;15118;2692
001173;376;287;47;710;663;-89
001178;464;325;190;979;789;-139
001183;1136;428;210;1774;1564;-708
001184;728;329;190;1247;1057;-399
001189;4710;4876;1163;10749;9586;166
001190;832;286;153;1271;1118;-546
001191;6446;6479;5728;18653;12925;33
001193;1139;992;290;2421;2131;-147
001194;5444;1158;1197;7799;6602;-4286
001195;980;407;184;1571;1387;-573
001197;2653;3250;1092;6995;5903;597
001198;245;52;39;336;297;-193
001200;349;174;35;558;523;-175
001201;115;86;97;298;201;-29
001205;388;33;36;457;421;-355
001211;572;262;71;905;834;-310
001214;6468;7879;1218;15565;14347;1411
001219;11559;13754;4786;30099;25313;2195
001222;611;729;118;1458;1340;118
001227;166;33;48;247;199;-133
001228;1561;1396;287;3244;2957;-165
001229;754;64;108;926;818;-690
001241;1050;217;164;1431;1267;-833
001242;490;139;76;705;629;-351
001250;451;39;55;545;490;-412
001254;1020;774;244;2038;1794;-246
001256;1113;688;281;2082;1801;-425
001257;2829;2273;972;6074;5102;-556
001260;948;690;228;1866;1638;-258
001263;96;213;259;568;309;117
001275;1018;568;353;1939;1586;-450
001276;1154;448;218;1820;1602;-706
001280;3107;2682;698;6487;5789;-425
001284;1246;882;212;2340;2128;-364
001285;299;10;28;337;309;-289
001292;9049;7822;2435;19306;16871;-1227
001299;1244;543;566;2353;1787;-701
001300;1063;525;551;2139;1588;-538
001302;1034;734;190;1958;1768;-300
001306;270;68;83;421;338;-202
001307;904;1395;464;2763;2299;491
001308;1286;1208;322;2816;2494;-78
001309;4613;2175;985;7773;6788;-2438
001310;322;266;78;666;588;-56
001315;2758;1617;526;4901;4375;-1141
002071;994;507;359;1860;1501;-487
002158;5620;8303;10347;24270;13923;2683
004009;1224;553;795;2572;1777;-671
004012;1354;1838;1345;4537;3192;484
004034;2559;1247;1364;5170;3806;-1312
004042;322;50;104;476;372;-272
004073;254;414;529;1197;668;160
004085;498;244;234;976;742;-254
004096;721;574;292;1587;1295;-147
004143;901;929;578;2408;1830;28
004148;767;656;490;1913;1423;-111
004171;273;161;81;515;434;-112
004203;3159;4377;3501;11037;7536;1218
004215;3664;4657;4545;12866;8321;993
