latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
65.7706,24.18668,327.57,0.5,0.41,2024-01-31,0030,1,nominal,2.0NRT,269.74,4.18,N
65.76694,24.18456,328.34,0.5,0.41,2024-01-31,0030,1,nominal,2.0NRT,270.22,4.18,N
65.56345,22.22146,329.94,0.55,0.43,2024-01-31,0030,1,nominal,2.0NRT,268.43,5.07,N
64.66598,21.283,327.77,0.56,0.43,2024-01-31,0030,1,nominal,2.0NRT,267.87,3.85,N
64.66205,21.28124,309.92,0.56,0.43,2024-01-31,0030,1,nominal,2.0NRT,266.16,3.85,N
64.66379,21.28701,323.88,0.56,0.43,2024-01-31,0030,1,nominal,2.0NRT,267.51,4.04,N
64.66476,21.27523,310.26,0.56,0.43,2024-01-31,0030,1,nominal,2.0NRT,265.71,3.16,N
52.84531,29.99002,314.95,0.47,0.39,2024-01-31,0034,1,nominal,2.0NRT,267.43,1.77,N
51.89331,29.33993,334.85,0.46,0.39,2024-01-31,0034,1,nominal,2.0NRT,271.56,4.02,N
51.88985,29.33808,308.52,0.46,0.39,2024-01-31,0034,1,nominal,2.0NRT,269.2,2.05,N
51.13884,23.54929,305,0.38,0.36,2024-01-31,0034,1,nominal,2.0NRT,271.61,1.04,N
51.68951,15.97658,323.69,0.39,0.44,2024-01-31,0034,1,nominal,2.0NRT,251.38,4.79,N
51.68901,15.98219,337.46,0.39,0.44,2024-01-31,0034,1,nominal,2.0NRT,255.65,4.79,N
50.41463,18.14112,297.82,0.47,0.4,2024-01-31,0034,1,nominal,2.0NRT,266.91,1.17,N
50.07666,20.09908,297.78,0.41,0.37,2024-01-31,0034,1,nominal,2.0NRT,271.32,0.72,N
50.0741,20.09694,300.26,0.41,0.37,2024-01-31,0034,1,nominal,2.0NRT,271.37,1.04,N
48.97552,24.70995,305.47,0.4,0.37,2024-01-31,0034,1,nominal,2.0NRT,271.42,1.24,N
47.05422,32.78534,316.42,0.54,0.51,2024-01-31,0034,1,nominal,2.0NRT,269.68,2.54,N
47.05562,32.78651,316.74,0.54,0.51,2024-01-31,0034,1,nominal,2.0NRT,269.36,3.24,N
49.69121,18.65553,320.64,0.45,0.39,2024-01-31,0034,1,nominal,2.0NRT,272.5,2.04,N
49.68063,18.65258,317.06,0.45,0.39,2024-01-31,0034,1,nominal,2.0NRT,272.77,2.16,N
49.67989,18.65872,317.04,0.45,0.39,2024-01-31,0034,1,nominal,2.0NRT,274.81,2.16,N
49.67916,18.66486,318.27,0.45,0.39,2024-01-31,0034,1,nominal,2.0NRT,274.99,2.75,N
46.58808,32.46059,301.53,0.54,0.51,2024-01-31,0034,1,nominal,2.0NRT,267.18,0.91,N
48.60878,21.1766,325.57,0.39,0.36,2024-01-31,0034,1,nominal,2.0NRT,271.39,5.01,N
48.60802,21.18183,317.47,0.39,0.36,2024-01-31,0034,1,nominal,2.0NRT,272.65,4.89,N
48.6055,21.17551,295.33,0.39,0.36,2024-01-31,0034,1,nominal,2.0NRT,268.91,0.57,N
48.60474,21.18074,297.43,0.39,0.36,2024-01-31,0034,1,nominal,2.0NRT,270.69,0.61,N
48.60145,21.17964,296.64,0.39,0.36,2024-01-31,0034,1,nominal,2.0NRT,269.43,0.61,N
45.37304,30.92814,338.03,0.5,0.49,2024-01-31,0037,1,nominal,2.0NRT,279.42,4.75,N
45.37497,30.92772,336.25,0.5,0.49,2024-01-31,0037,1,nominal,2.0NRT,280.55,4.73,N
46.81948,21.34313,295.53,0.38,0.36,2024-01-31,0037,1,nominal,2.0NRT,268.95,0.51,N
46.94146,18.93605,295.22,0.42,0.37,2024-01-31,0037,1,nominal,2.0NRT,272.28,0.96,N
46.32626,2.97494,299.99,0.68,0.74,2024-01-31,0037,1,nominal,2.0NRT,264.82,0.46,N
44.60075,20.97677,326.86,0.38,0.36,2024-01-31,0034,1,nominal,2.0NRT,271.57,2.08,N
44.59749,20.97576,309.52,0.38,0.36,2024-01-31,0034,1,nominal,2.0NRT,268.74,2.08,N
43.23314,27.59608,296.29,0.4,0.44,2024-01-31,0034,1,nominal,2.0NRT,271.26,0.83,N
44.08025,22.10429,300.25,0.39,0.36,2024-01-31,0034,1,nominal,2.0NRT,269.44,0.91,N
44.63767,16.39473,300.05,0.47,0.4,2024-01-31,0034,1,nominal,2.0NRT,269.72,1.36,N
43.90781,21.51251,296.04,0.39,0.36,2024-01-31,0034,1,nominal,2.0NRT,267.72,0.37,N
44.86509,13.82546,297.3,0.4,0.44,2024-01-31,0034,1,nominal,2.0NRT,276.46,0.51,N
41.26519,31.42164,303.66,0.34,0.56,2024-01-31,0034,1,nominal,2.0NRT,274.82,1.02,N
41.25645,31.41321,324.06,0.34,0.56,2024-01-31,0034,1,nominal,2.0NRT,272.86,0.98,N
41.25544,31.41704,299.5,0.34,0.56,2024-01-31,0034,1,nominal,2.0NRT,271.98,0.98,N
42.71523,24.1708,335.31,0.45,0.39,2024-01-31,0034,1,nominal,2.0NRT,270.03,4.51,N
43.83076,16.64092,297.78,0.45,0.39,2024-01-31,0034,1,nominal,2.0NRT,271.5,1.13,N
