Estrazione del 2026-07-21
idImpianto|descCarburante|prezzo|isSelf|dtComu
3464|Benzina|2.428|0|20/07/2026 21:00:05
3464|Benzina|2.068|1|20/07/2026 21:00:06
3464|Gasolio|2.568|0|20/07/2026 21:00:08
3464|Gasolio|2.208|1|20/07/2026 21:00:06
3464|Metano|1.649|0|20/07/2026 21:00:07
3464|GPL|0.849|0|20/07/2026 21:00:07
3468|Benzina|1.955|1|20/07/2026 09:18:12
3468|Gasolio|2.058|1|20/07/2026 09:18:12
3468|GPL|0.918|0|20/07/2026 09:18:12
3471|Benzina|2.385|0|20/07/2026 18:00:10
3471|Benzina|2.029|1|20/07/2026 18:00:07
3471|Gasolio|2.489|0|20/07/2026 18:00:09
3471|Gasolio|2.159|1|20/07/2026 18:00:11
3471|Metano|1.579|0|20/07/2026 18:00:07
3471|GPL|0.899|0|20/07/2026 18:00:09
3473|Benzina|2.288|0|19/07/2026 22:05:39
3473|Benzina|1.979|1|19/07/2026 22:05:39
3473|Gasolio|2.418|0|19/07/2026 06:52:09
3473|Gasolio|2.109|1|19/07/2026 06:52:09
3473|Metano|1.565|0|19/07/2026 22:05:39
3473|GPL|0.844|0|19/07/2026 22:05:39
3473|Blue Super|2.407|0|19/07/2026 22:05:39
3473|Blue Super|2.103|1|19/07/2026 22:05:39
3473|Blue Diesel|2.528|0|19/07/2026 06:52:09
3473|Blue Diesel|2.219|1|19/07/2026 06:52:09
3474|Benzina|2.429|0|21/07/2026 00:00:07
3474|Benzina|2.029|1|21/07/2026 00:00:05
3474|Gasolio|2.569|0|21/07/2026 00:00:09
3474|Gasolio|2.169|1|21/07/2026 00:00:06
3486|Benzina|2.412|0|17/07/2026 13:30:20
3486|Benzina|2.072|1|17/07/2026 13:30:18
3486|Gasolio|2.452|0|17/07/2026 13:30:19
3486|Gasolio|2.192|1|17/07/2026 13:30:20
3489|Benzina|2.439|0|20/07/2026 16:00:13
3489|Benzina|2.009|1|20/07/2026 16:00:17
3489|Gasolio|2.589|0|20/07/2026 16:00:12
3489|Gasolio|2.159|1|20/07/2026 16:00:15
3489|Metano|1.529|0|20/07/2026 16:00:16
3489|GPL|0.915|0|20/07/2026 16:00:13
3492|Benzina|2.274|0|20/07/2026 09:15:28
3492|Benzina|2.024|1|20/07/2026 09:15:28
3492|Gasolio|2.404|0|20/07/2026 09:15:29
3492|Gasolio|2.155|1|20/07/2026 09:15:28
3492|GPL|0.877|0|20/07/2026 09:15:29
3492|Blue Diesel|2.504|0|20/07/2026 09:15:29
3492|Blue Diesel|2.255|1|20/07/2026 09:15:29
3493|Benzina|2.189|0|19/07/2026 21:52:49
3493|Benzina|1.989|1|19/07/2026 21:52:49
3493|Gasolio|2.319|0|19/07/2026 21:10:09
3493|Gasolio|2.119|1|19/07/2026 21:10:09
3493|Metano|1.619|0|19/07/2026 21:52:49
3493|GPL|0.899|0|19/07/2026 21:52:49
3493|Blue Diesel|2.419|0|19/07/2026 21:10:09
3493|Blue Diesel|2.219|1|19/07/2026 21:10:09
3493|HVOlution|2.319|0|19/07/2026 21:10:09
3493|HVOlution|2.119|1|19/07/2026 21:10:09
3503|Benzina|2.299|0|20/07/2026 10:26:23
3503|Benzina|2.049|1|20/07/2026 10:26:23
3503|Gasolio|2.409|0|20/07/2026 10:26:23
3503|Gasolio|2.159|1|20/07/2026 10:26:23
3503|Metano|1.699|0|20/07/2026 10:26:23
3503|GPL|0.899|0|20/07/2026 10:26:23
3503|Hi-Q Diesel|2.659|0|20/07/2026 10:26:23
3503|Hi-Q Diesel|2.459|1|20/07/2026 10:26:23
3503|HiQ Perform+|2.569|0|20/07/2026 10:26:23
3503|HiQ Perform+|2.349|1|20/07/2026 10:26:23
3503|HVO|2.159|1|20/07/2026 10:26:23
3510|Benzina|2.339|0|20/07/2026 12:56:13
3510|Benzina|1.989|1|20/07/2026 12:56:13
3510|Gasolio|2.469|0|20/07/2026 12:56:13
3510|Gasolio|2.119|1|20/07/2026 12:56:13
3510|GPL|0.899|0|20/07/2026 12:56:13
3511|Benzina|2.199|0|20/07/2026 12:30:12
3511|Benzina|1.999|1|20/07/2026 12:30:10
3511|Gasolio|2.399|0|20/07/2026 12:30:13
3511|Gasolio|2.199|1|20/07/2026 12:30:11
3511|Gasolio speciale|2.498|0|20/07/2026 12:30:18
3511|Gasolio speciale|2.398|1|20/07/2026 12:30:17
3512|Benzina|2.269|0|20/07/2026 07:00:19
3512|Benzina|2.069|1|20/07/2026 07:00:18
3512|Gasolio|2.469|0|20/07/2026 17:00:16
3512|Gasolio|2.269|1|20/07/2026 17:00:16
3512|Gasolio speciale|2.498|0|20/07/2026 07:00:21
3512|Gasolio speciale|2.398|1|20/07/2026 07:00:21
3513|Benzina|2.279|0|20/07/2026 07:30:08
3513|Benzina|2.064|1|20/07/2026 07:30:06
3513|Gasolio|2.379|0|20/07/2026 07:30:13
3513|Gasolio|2.164|1|20/07/2026 07:30:06
3513|Hi-Q Diesel|2.629|0|20/07/2026 07:30:15
3513|Hi-Q Diesel|2.464|1|20/07/2026 07:30:15
3513|HiQ Perform+|2.549|0|20/07/2026 07:30:14
3513|HiQ Perform+|2.364|1|20/07/2026 07:30:14
3514|Benzina|2.229|0|18/07/2026 14:50:58
3514|Benzina|1.984|1|18/07/2026 14:50:58
3514|Gasolio|2.384|0|18/07/2026 14:50:58
3514|Gasolio|2.139|1|18/07/2026 14:50:58
3514|GPL|0.879|0|18/07/2026 14:50:58
3514|Hi-Q Diesel|2.634|0|18/07/2026 14:50:58
3514|Hi-Q Diesel|2.439|1|18/07/2026 14:50:58
