COUNTRY_ISO3;Country;Sex;Age;15 to 19;15 to 24;15 to 64;20 to 24;25 to 29;25 to 34;25 to 39;25 to 54;25 to 64;30 to 34;35 to 39;35 to 44;40 to 44;40 to 49;45 to 49;45 to 54;50 to 54;55 to 59;55 to 64;60 to 64;65 to 69;65+;70 to 74;70+;75+;Total;75 to 79+;80+;Total
AUS;Australia;All persons;15 to 19;53.4390258557669;66.8502340185051;76.9383865216076;78.7727724261683;83.1234752776609;83.2234871652799;0;83.4448250835955;79.4422100768656;83.3231843682514;83.2288218679813;83.9244670577682;84.6169116340066;0;84.3700789098791;83.2025807282092;81.9851867382748;73.3495676686825;65.2427346528644;56.1255769041479;26.3416379591862;12.5635510936395;0;6.05743160954649;0;1559.1761281942552;0;0;1559.1761281942552
AUT;Austria;All persons;15 to 19;37.8240317499595;57.46733388905;76.2015934063179;73.8137401162109;86.996968037449;88.3538316007988;0;88.3662924824421;80.0307821482907;89.6919882647034;89.0803778448029;89.474051669576;89.8471889563104;0;89.7190677602261;87.4648868137036;85.261525312717;70.9169500282224;51.7423197700934;27.9494581011426;8.69303336143902;5.04233757150395;6.00358673952635;0;2.28588005528411;1504.6411252020953;0;0;1504.6411252020953
BEL;Belgium;All persons;15 to 19;6.91294447431646;28.4582017248309;67.6234656593552;48.1243053303556;83.9717511315041;85.5416773559888;0;85.1327640670354;76.1814961813409;87.1235425683464;87.1795288128974;87.2993872178255;87.4190683677056;0;84.8883146735142;82.7643986204607;80.722344892779;67.4720469996244;48.1456050427406;25.5811891276376;4.68467307569264;2.21849729220309;1.48984033291807;0;0;1335.9390988642494;0.806825673482566;0;1335.9390988642494
CAN;Canada;All persons;15 to 19;49.0201945234709;63.730250890216;78.111680532601;76.0635416063367;85.6621717918653;86.2948388988164;0;86.5160082087304;81.3467000862853;86.9198967649687;87.0207482479717;87.5204752790282;88.0313173775575;0;87.5123130215113;85.791696465221;84.2950260690258;75.3836702283934;65.8193524127754;54.8080719148291;26.2480040885003;13.7236673977892;13.1349477800943;0;3.58963292824269;1597.9537140616587;0;0;1597.9537140616587
CZE;Czech Republic;All persons;15 to 19;6.04566969581693;31.9792713230021;75.0001434979854;52.768500678118;80.7826664051708;82.0764855799616;0;88.8843019360811;82.4660824252227;83.2885510106916;88.5605817561597;90.9612972874584;93.2785902880405;0;94.1770560128962;93.1888909212535;92.1790088547031;84.5497709649749;60.8426307609962;39.5894693551666;12.3496343122487;6.3111006310951;5.46551840174782;0;1.50701104791882;1466.0961447920672;0;0;1466.0961447920672
DNK;Denmark;All persons;15 to 19;59.1007326186058;66.1511905795898;79.9530950530123;72.4395013247262;81.9096826592922;84.3611845410865;0;87.3508425139485;83.3691676222644;87.1291753700589;88.6548439293521;89.1847559164928;89.6539587328842;0;89.1179317114999;88.2321724193228;87.3742014873871;84.319242276292;70.6122771138973;55.3455022610694;19.0738423364552;8.42497271019521;8.77357300877384;0;0;1607.6420440338193;0;0;1607.6420440338193
FIN;Finland;All persons;15 to 19;34.2825665936839;53.515441416719;76.0387223744648;70.606384706355;81.2262327539627;81.8560354964414;0;86.3130434317585;81.1125077198334;82.4640570007569;86.6344659580588;88.0970239139304;89.6707348817626;0;89.6665532975313;89.0030047288972;88.3901872436388;81.9923039413646;66.4024917784141;51.0278759742187;14.0710026600305;10.7964220813922;6.16310363766928;0;0;1540.8879623484;0;0;1540.8879623484
FRA;France;All persons;15 to 19;14.1214501322191;37.2124460674993;71.6971304753582;62.2828212231407;85.7474751320774;86.1829382683587;0;87.8085079806874;79.4005295513366;86.5997033884292;88.652895088096;89.6059680793328;90.503734133319;0;88.9983995880918;87.5441101617729;86.0935297114186;75.997075750908;53.6690025530012;30.1361772041282;6.52716817763215;2.91937142497976;2.76880661724777;0;0.43244049714944;1426.9738604557353;0;0;1426.9738604557353
DEU;Germany;All persons;15 to 19;29.0333056514353;49.2775687743453;77.9753533171078;68.2579340936398;82.6673469764546;84.4520223692227;0;87.4103332327914;83.3528003261521;86.2777930964163;87.4721419614442;88.4113869413554;89.3524695144446;0;90.2841185553203;88.9841084330402;87.8020295137324;82.3035347260057;71.3178845628663;58.6159628028644;15.5039860510426;6.57992118795129;6.58689952515582;0;0;1547.3014770099487;2.93978309193422;0.582060548474756;1547.3014770099487
GRC;Greece;All persons;15 to 19;5.51500994824522;24.6452594356687;68.2165417539763;44.0877128579059;84.699179595243;86.624651248614;0;85.4561128828949;76.0861449687666;88.2322408885274;89.6419536844992;88.9966831210383;88.4098077124598;0;85.3169756054968;80.8574195587882;76.2660011163176;58.2692493707728;44.8709847402074;30.8575498163903;10.2441599957425;3.18559403023929;1.2145293265576;0;0;1326.1775176589217;0.223710379405247;0;1326.1775176589217
HUN;Hungary;All persons;15 to 19;6.89145947872313;32.2899349188471;70.1349197774034;53.5196295575071;80.6118260279335;81.6417382359985;0;86.116464112127;77.6300890136617;82.6649610199996;86.1404007283712;88.2962513869145;90.378982888543;0;88.9969284197868;87.7042497648646;86.1534185079042;72.7922717039047;52.1231831919801;34.0675655742708;5.35655808248479;4.17621689175987;2.6512032921398;0;0;1392.515955497142;0;0;1392.515955497142
ISL;Iceland;All persons;15 to 19;78.7332929323978;82.4823049240041;89.0493083608211;85.3691279851819;90.1016346106234;90.3401346052898;0;91.8814922008238;90.5872592081575;90.5915204850973;92.6576601667031;92.8669097748547;93.0811782801898;0;94.2969520259624;92.4708118847031;90.753581623245;87.4879677065817;86.2714886864236;84.8818002327746;56.5417485306377;40.5780776602851;19.3350828587489;0;0;1887.4739981505115;0;0;1887.4739981505115
IRL;Ireland;All persons;15 to 19;19.3358695659632;40.1894449775532;70.8569916096141;66.6082392781429;81.9567510836661;82.4857888669879;0;81.2685041721522;77.2169667365586;82.9108574109802;83.8394531909948;83.065177078519;82.238511265284;0;79.1730474732006;77.9338968698335;76.58438830452;70.727136802363;61.1166500708956;50.191733840499;19.8355096883204;10.6070285649727;10.6423178081811;0;3.26295575856285;1433.0247618198828;0;0;1433.0247618198828
ITA;Italy;All persons;15 to 19;6.72389451981472;26.6067150450652;64.9409739738678;45.4977200146727;68.8029429644792;73.1889973461161;0;77.4524763823869;71.8056626020118;77.2403276658976;80.4654103544485;80.6982418335792;80.8966432525334;0;78.9885584181306;77.4797317432898;75.9205449370702;66.2294791898413;53.4002642457585;38.9464889359589;9.32388226011357;3.98766800221956;3.69073069489801;0;0;1263.9379466539797;2.19822777443493;0.453026919765752;1263.9379466539797
JPN;Japan;All persons;15 to 19;17.2529313232831;44.7626841243863;76.857554711047;71.04;88.006230529595;86.1335289801908;0;86.0181743081371;82.9770635044469;84.4660194174757;84.0740740740741;85.2080989876266;86.1570247933884;0;87.3487348734874;86.7724867724868;86.1111111111111;82.0239680426099;73.580089342693;65.8088235294118;43.952802359882;22.7576197387518;25.5720053835801;0;8.72403560830861;1595.6664555210298;0;0;1595.6664555210298
