COUNTRY_ISO3;Country;Sex;Age;15 to 19;15 to 24;15 to 64;20 to 24;25 to 29;25 to 34;25 to 39;25 to 54;25 to 64;30 to 34;35 to 39;35 to 44;40 to 44;40 to 49;45 to 49;45 to 54;50 to 54;55 to 59;55 to 64;60 to 64;65 to 69;65+;70 to 74;70+;75+;Total;75 to 79+;80+;Total
AUS;Australia;Women;15 to 19;56.0227072511124;66.3778772354439;71.5983169113626;75.5684953432963;76.3539786982611;75.2338082530962;0;76.8442803355344;72.8505250131054;74.1230531149511;74.3415613353694;76.6594908872766;78.9533004639374;0;79.9611707383775;78.827019019169;77.6456394561395;67.4730321846201;58.8159172876283;49.0788459946905;20.9172270842203;9.03208722652489;0;3.80620296164639;0;1438.9424767738192;0;0;1438.9424767738192
AUT;Austria;Women;15 to 19;33.2538732974898;54.586138194201;71.6847426145101;72.1787436901959;84.1866933396955;84.8858006824482;0;84.9142744745031;75.1123463166165;85.5697100284264;84.5667890693306;85.4943609361597;86.3607243605324;0;86.7503167215941;84.4588152817007;82.2147457097543;62.8454855844905;42.720753434247;18.3328054192851;7.04475294358123;3.50641282011128;4.49194704694086;0;1.09650139011449;1408.0752011608515;0;0;1408.0752011608515
BEL;Belgium;Women;15 to 19;5.54664316854499;26.1526477870138;62.8570840273629;44.4130002680678;80.4343000139159;81.0974784351087;0;79.8368595849109;70.76707070026;81.7661520066344;82.4361086382051;82.2624277579;82.0877817683563;0;79.4093559068826;76.4350631788071;73.5886932507405;62.0770931019072;42.7733882463071;20.518454097027;2.77856964338712;1.1528127584204;0;0;0;1234.2685342432922;0.349849714232127;0;1234.2685342432922
CAN;Canada;Women;15 to 19;50.8024686648522;64.02208048258;74.4327842923613;75.0450394128896;82.754382745342;82.0493062392374;0;82.1796600884026;76.7031890396469;81.3583810762592;81.7540670650394;82.4615519506726;83.1955918676327;0;83.6301941099159;82.0420997104285;80.6386342046494;71.0258969198203;60.3232763451529;48.1081060461096;20.8588965946397;10.1318577800849;9.72951691826306;0;2.2575251834975;1508.0567007466468;0;0;1508.0567007466468
CZE;Czech Republic;Women;15 to 19;5.77638358979587;26.2067736165122;67.6262065158126;42.5222784988186;69.5626275238084;69.1366758206604;0;82.0592411096281;74.7334361465706;68.7345384456623;79.3205164241039;84.5107577499;89.5105683529301;0;93.2034894477489;92.0522183929336;90.8877112121255;80.15089799378;51.2292199317644;26.1259341160661;9.51686922194343;4.56370213408885;4.09220415072552;0;0.922433696825354;1316.1754940518222;0;0;1316.1754940518222
DNK;Denmark;Women;15 to 19;60.0890634685214;67.344563155544;77.2162191865013;73.8021506808638;78.1223085963623;79.8253612338988;0;83.834702795797;79.6240419212609;81.749661759464;84.124585539623;85.373181152557;86.4847409675537;0;87.1718908273639;85.8129399651519;84.4974367682208;82.3922645538633;66.3521491370076;48.4727768453093;11.5140723653275;4.92672531662584;5.46564316882426;0;0;1533.0632644956977;0;0;1533.0632644956977
FIN;Finland;Women;15 to 19;36.1856561640093;53.1874381024392;74.0815795685783;69.1806576735011;76.0448152410236;75.2543174374754;0;82.7718710419886;78.7127799075826;74.4809206283662;81.7435414300905;84.8418666296182;88.061481459039;0;88.6736343752916;88.0735539776739;87.5188841923714;83.443137758363;67.6351283609678;51.9481181212573;11.2130223980392;8.18596441497485;3.93862244647157;0;0;1491.463991005185;0;0;1491.463991005185
FRA;France;Women;15 to 19;11.6514307126986;34.3397801586197;67.9212683432948;58.3791825766882;80.4210858617824;80.2552172150106;0;83.1115206239411;75.1925160270707;80.097717258434;83.1311623690526;84.8063475682114;86.3952325217708;0;85.5464842359352;84.0553946180004;82.5808809323937;72.0527749624184;51.4686776774381;30.1172328518062;5.08525155514196;2.16920402955984;2.34597673195962;0;0.273164680761598;1344.8366943767091;0;0;1344.8366943767091
DEU;Germany;Women;15 to 19;26.6623459282317;47.3980774261322;73.6366323096718;66.6186131977302;79.2649406471337;79.3923473143803;0;82.6938685619903;78.374675021545;79.5189912841748;80.7169263349287;82.778908283613;84.8447620320756;0;86.7707640686337;85.1564915371292;83.6903058913932;77.3121189220363;65.9121838109347;52.9191048535015;11.8872855106416;4.43106684067267;4.26115067283854;0;0;1447.0796834276018;1.69832023066657;0;1447.0796834276018
GRC;Greece;Women;15 to 19;4.86328792588853;22.8725956365653;60.448984575301;41.7947778216064;80.411911175289;81.245783133322;0;77.7476413197229;67.1907785580938;81.8777247708481;82.2264415626996;81.298901175926;80.4862931855436;0;78.271134699115;71.4072756715051;64.4307862513451;44.0144782122738;33.6104212591212;22.7400814344557;7.91312348106651;2.27142262715902;0.193300539431866;0;0;1177.5092824607398;0.20407959856948;0;1177.5092824607398
