COUNTRY_ISO3;Country;Sex;Age;15 to 19;15 to 24;15 to 64;20 to 24;25 to 29;25 to 34;25 to 39;25 to 54;25 to 64;30 to 34;35 to 39;35 to 44;40 to 44;40 to 49;45 to 49;45 to 54;50 to 54;55 to 59;55 to 64;60 to 64;65 to 69;65+;70 to 74;70+;75+;Total;75 to 79+;80+;Total
AUS;Australia;Women;15 to 19;59.4635369653204;68.4534873136172;65.2587942603681;77.6395607868077;72.6348521141442;69.6225484380062;0;70.4615437232492;64.4556656577774;66.5999203768652;68.2656799719955;71.2400781680577;74.3190895173843;0;74.4552298449265;70.5028009487643;66.2301146347942;46.8965086196295;35.3383337027045;21.5275364217767;7.94754668605081;3.04356037018523;0;1.32817035176318;0;1264.7021476921186;0;0;1264.7021476921186
AUT;Austria;Women;15 to 19;34.2686718700425;50.7630575488653;61.7785911605294;67.7229367934336;77.7965956352099;78.4906009035192;0;76.2938012978246;64.0918016249032;79.0668901778694;79.4616531050254;78.6947137951576;77.8208169434185;0;75.7361980002662;70.507649318617;65.0535790127087;25.8047015553508;17.6439900510651;7.96115034362635;3.44721857205432;1.66640802139111;1.91218807432038;0;0.626457325044017;1194.5314398626265;0;0;1194.5314398626265
BEL;Belgium;Women;15 to 19;8.46587136526034;31.8383995019905;56.3832547823828;54.4887152273409;84.1844727986311;82.7892627004155;0;72.7487106237682;61.901423935037;81.5040376873922;77.8613285579794;76.63307661577;75.3545494883323;0;66.8781721611038;57.8086078152069;48.2314794433489;28.168116852968;17.1409999604897;6.60807090577414;1.67331176412019;0.814538057619929;0.878922595255049;0;0.279620974961904;1079.4543591923027;0;0;1079.4543591923027
CAN;Canada;Women;15 to 19;51.8421845196265;62.8749748339038;70.3708041736211;73.9679014837993;79.9302788844621;79.6239885768682;0;78.4792216695596;72.1741236301992;79.3436645396536;79.4236760124611;80.1295896328294;80.8221271393643;0;79.3549514902544;75.3873907211249;70.9274906661426;53.0538302277433;41.3601368691189;27.015873015873;7.14654727053556;3.29242741694104;3.03260045489007;0;0.94834318866451;1369.2900348903588;0;0;1369.2900348903588
CZE;Czech Republic;Women;15 to 19;13.9018477615532;40.6373794492184;63.6600077636949;61.7540072080118;64.9417807412288;70.1366001730467;0;81.7930443583295;69.9128446684471;76.5303258908495;86.6505299393904;89.0125975136591;91.300002579773;0;91.0683319264274;86.5592336096882;82.1177679184981;32.5931939688867;23.65396540964;11.9409257461186;0;2.38282746898122;0;0;0;1243.81682967039;0;0;1243.81682967039
DNK;Denmark;Women;15 to 19;60.280064071235;67.8135705547257;75.6138495060441;74.1833516578729;80.2810290643872;82.6318698328712;0;84.0247314802721;77.1978958546653;84.911611838138;86.3932160138579;86.5873047553608;86.7926302203493;0;85.9027689509222;82.929160878116;80.3249291392956;68.6068829742402;49.0378245154593;24.6164951748886;5.06004572180407;1.39386450671432;0;0;0;1464.7699702008433;0;0;1464.7699702008433
FIN;Finland;Women;15 to 19;36.6459627329193;51.0835913312694;72.1120186697783;65.4320987654321;76.3513513513514;78.2608695652174;0;85.045045045045;76.9949676491732;79.8850574712644;86.0215053763441;87.7659574468085;89.4736842105263;0;90.2061855670103;87.8640776699029;85.7798165137614;66.6666666666666;45.1957295373665;21.6417910447761;2.41935483870968;1.63934426229508;0.833333333333334;0;0;1413.9782660458868;0;0;1413.9782660458868
FRA;France;Women;15 to 19;5.94585071578402;25.9581956324399;61.6860431549153;46.9006426179111;79.2831238226367;78.5558386167894;0;78.3607812067912;70.1671827475563;77.8612388238008;79.2272640511379;79.929967956197;80.6443006111434;0;79.3383372548356;76.5573473014867;73.7687267518347;52.0099972049838;33.045154208101;13.4856173072527;2.4703541718929;0.920330726612629;0.54941883051043;0;0.269398592473252;1193.2685827121559;0;0;1193.2685827121559
DEU;Germany;Women;15 to 19;29.5364238410596;48.2037289677126;63.2785324594486;68.0262541022035;74.6643568644435;75.4851702673014;0;76.9440575673166;66.1720420721861;76.0862670472566;77.874512158511;79.0657709732854;80.3583061889251;0;79.3922458959134;75.8986775935928;71.9074221867518;55.7486136783734;33.4976236578067;13.2728494623656;3.05039787798408;1.49308530167666;1.49253731343284;0;0.557768924302789;1250.107089698057;0;0;1250.107089698057
GRC;Greece;Women;15 to 19;13.7898553197312;36.1925181671018;50.4991266531638;57.5199375985837;72.1142299193636;70.7721911939176;0;62.0421411116405;54.0866272127318;69.5126633683936;66.2313343334207;64.5678670156158;62.9318052591492;0;54.63384672277;48.9503431435704;43.1096832322433;31.0563573690408;25.3815296728272;20.6122579681232;6.38229110452428;2.78204690552774;1.67143803365399;0;0.494732206569904;995.9326862730173;0;0;995.9326862730173
