COUNTRY_ISO3;Country;Sex;Age;15 to 19;15 to 24;15 to 64;20 to 24;25 to 29;25 to 34;25 to 39;25 to 54;25 to 64;30 to 34;35 to 39;35 to 44;40 to 44;40 to 49;45 to 49;45 to 54;50 to 54;55 to 59;55 to 64;60 to 64;65 to 69;65+;70 to 74;70+;75+;Total;75 to 79+;80+;Total
AUS;Australia;Men;15 to 19;58.0385369594548;71.8621300798586;82.3265168408282;86.3210850365596;91.613797121926;92.0062508120211;0;90.2240841388672;85.0489257425431;92.4030299102008;91.1582863944674;91.3907114545306;91.6312414799359;0;88.974355482377;86.9780948824297;84.8813468311676;72.477246705305;60.8524385228652;46.6165255817779;18.6730738933011;9.86537087761702;0;5.77727552435974;0;1643.3100018883645;0;0;1643.3100018883645
AUT;Austria;Men;15 to 19;45.8557226438491;60.6315643342718;79.8907921288025;75.9513300727663;88.76375688989;92.8751142899755;0;94.0238496265436;83.922632465157;96.14027637599;97.2595238568109;97.0001844211386;96.6991602173555;0;94.52225481846;91.5109296956893;88.3487708634389;63.7762454546978;42.7793110121036;17.125776699526;6.79812376435928;4.36743016857982;4.47571560480148;0;1.99765979762706;1562.453219504644;0;0;1562.453219504644
BEL;Belgium;Men;15 to 19;13.4504484369684;38.6663107082058;73.7411044080119;63.5684732640658;93.3833394095868;94.3304221246192;0;91.8442575337522;81.791889943677;95.1962585339987;94.7249360929639;94.4311990815683;94.122788360109;0;91.0582156010894;86.2449762342773;81.1280791599172;56.4280212900665;37.518035081133;18.5226060583231;4.22519622205106;2.43802029556406;2.07795316056651;0;1.03140892389037;1432.9858863090828;0;0;1432.9858863090828
CAN;Canada;Men;15 to 19;51.7651536778;65.8401806736822;81.914086069642;80.1980198019802;90.6130456105934;91.6957464868434;0;91.0430938579542;85.9963633257264;92.6982108800291;92.544064888473;92.3842341644726;92.2266646163309;0;91.0714285714286;88.7651536509727;86.2566215420836;72.54540668597;60.6956776986864;45.7621496102173;15.9888579387187;9.44831554049735;8.42507301729948;0;4.16738419149302;1636.7242740382644;0;0;1636.7242740382644
CZE;Czech Republic;Men;15 to 19;15.9579812381241;51.3278249782508;79.4297758261055;79.4346317909023;94.9589544343253;96.0324786752133;0;94.9455725084583;87.4648306708099;97.3524865652461;97.2766610634934;96.7598216434822;96.2487197231616;0;94.6549390135978;92.2717193852155;89.864685567025;75.7621863386206;54.4858692195787;24.4749779002674;0;6.83739588161746;0;0;0;1565.2134997757253;0;0;1565.2134997757253
DNK;Denmark;Men;15 to 19;62.1830490525096;73.4351099800633;84.2257375569347;83.7833941920624;89.3091113796555;91.8627875555212;0;91.7453551327622;86.5258877302368;94.3025037206609;94.07221402364;93.0632160035721;91.9624730074875;0;91.8858733517306;90.299118369013;88.7702503831743;84.2577299689163;66.7488190466146;43.7156422741579;11.7815242756984;4.01504768742901;0;0;0;1660.335899306457;0;0;1660.335899306457
FIN;Finland;Men;15 to 19;37.4269005847953;56.379821958457;77.5556824671616;75.9036144578313;89.171974522293;91.6666666666666;0;90.6631762652705;82.6025459688826;93.854748603352;93.298969072165;92.8020565552699;92.3076923076923;0;90.3381642512077;87.8859857482185;85.5140186915888;65.9574468085106;48.134328358209;28.3464566929134;7.84313725490196;6.25;4.44444444444444;0;0;1539.3668743972783;0;0;1539.3668743972783
FRA;France;Men;15 to 19;11.4124334870704;32.571974361088;74.3817984151164;55.4986128894652;91.6953606228581;93.6904853635308;0;94.1603119632344;84.8915830052486;95.6097146487806;96.3064100103381;95.8962870875925;95.4751307940421;0;94.8840226339784;92.850323078586;90.8453705400916;65.7899684643001;41.693881245031;15.5046201216048;3.69425532723083;1.88906800078896;1.66540151626787;0;0.64056086534;1454.8742481273273;0;0;1454.8742481273273
DEU;Germany;Men;15 to 19;36.6836301950806;54.7000895255148;78.8684684684685;74.8341232227488;87.5786823331934;91.8567355666429;0;93.42776203966;83.506571600378;95.0139362031589;95.9398069278819;95.7104154124022;95.4516335682255;0;93.9583333333333;92.2506488691138;90.2943516308671;76.054272093876;52.4147727272727;30.223752151463;7.40196078431373;4.41877521085442;3.61519607843137;0;1.73961840628507;1569.2226593463952;0;0;1569.2226593463952
GRC;Greece;Men;15 to 19;16.8332826690168;41.7150368564627;77.4239946436616;68.9798277901778;92.6725621114731;94.5595057726215;0;94.3699213364633;86.8972408425801;96.401152194046;97.2214096104142;96.9583501182474;96.703200414353;0;94.6188770373456;91.2476145144931;87.7839363500547;72.337104949695;57.3149860240761;44.8644753688418;16.8128988654942;8.39280378051725;6.20033858066059;0;1.74607983220133;1571.5042678685897;0;0;1571.5042678685897
HUN;Hungary;Men;15 to 19;11.5707430220543;41.8181812747039;67.4853804829081;66.8319287669484;89.2540458874856;90.0329949290223;0;84.4080389700377;74.768046907815;90.9011607946351;88.252811287868;86.3884675484688;84.8094184451054;0;80.0669594824319;76.8432851018136;72.9929230620048;51.6918680894655;34.0968474718267;11.8690318808085;4.88867343810724;3.87931016667478;2.61239370066039;0;0;1337.6904300032988;0;0;1337.6904300032988
ISL;Iceland;Men;15 to 19;55.7513049962714;70.0683825624466;89.8468752778025;84.9370764762826;90.4785544082605;93.5825355822317;0;96.110556569029;95.8888211912844;96.8152207631062;98.0985306828004;98.6446217437278;99.1917636870971;0;96.0947503201024;95.9503332004329;95.7849725106903;96.8555519161481;94.6989287033617;91.9102075391783;65.2257240204429;48.3485193621868;28.9422135161606;0;0;1955.5414860123183;0;0;1955.5414860123183
IRL;Ireland;Men;15 to 19;36.7141152617751;57.8172875209025;80.0344785389756;80.3933968730521;93.3014376975729;94.3349790333928;0;92.3223627285982;87.663160747087;95.4314772732554;94.1474031336968;93.9619883385993;93.7644409350925;0;90.166665315628;88.0017090479213;85.726798723339;74.4632785603151;65.2173919470668;54.2780746758323;21.9589254124227;13.7949833715392;14.1153081755941;0;6.16045845663695;1657.1929791922576;0;0;1657.1929791922576
