latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
50.92942,25.64074,297.26,0.61,0.54,2024-09-06,0117,N,nominal,2.0NRT,285.69,1.52,N
50.92709,25.64891,301.51,0.61,0.54,2024-09-06,0117,N,nominal,2.0NRT,286.21,2.82,N
50.92485,25.6375,302.99,0.61,0.54,2024-09-06,0117,N,nominal,2.0NRT,287.13,2.17,N
50.5452,26.26098,316.06,0.33,0.56,2024-09-06,0117,N,nominal,2.0NRT,288.49,1.86,N
48.43904,32.31543,298.68,0.68,0.74,2024-09-06,0117,N,nominal,2.0NRT,284.85,1.38,N
48.4405,32.31064,296.15,0.68,0.74,2024-09-06,0117,N,nominal,2.0NRT,284.43,0.83,N
51.13959,23.55082,298.06,0.5,0.49,2024-09-06,0117,N,nominal,2.0NRT,284.96,0.94,N
53.52246,9.90377,324.02,0.42,0.38,2024-09-06,0117,N,nominal,2.0NRT,291.48,1.16,N
53.52325,9.89745,308.15,0.42,0.38,2024-09-06,0117,N,nominal,2.0NRT,289.99,1.16,N
53.51903,9.90255,299.2,0.42,0.38,2024-09-06,0117,N,nominal,2.0NRT,286.12,1.16,N
49.01211,28.91881,307.41,0.48,0.64,2024-09-06,0117,N,nominal,2.0NRT,283.79,2.2,N
49.01425,28.92169,307.54,0.48,0.65,2024-09-06,0117,N,nominal,2.0NRT,283.05,1.06,N
52.48696,13.83865,300.09,0.39,0.36,2024-09-06,0117,N,nominal,2.0NRT,288.04,0.37,N
53.13692,8.67872,307.84,0.45,0.39,2024-09-06,0117,N,nominal,2.0NRT,289.67,1.06,N
53.13339,8.67757,299.7,0.45,0.39,2024-09-06,0117,N,nominal,2.0NRT,289.56,1.06,N
53.12322,8.70188,331.96,0.45,0.39,2024-09-06,0117,N,nominal,2.0NRT,288.56,4.45,N
53.12477,8.68859,301,0.45,0.39,2024-09-06,0117,N,nominal,2.0NRT,289.35,0.78,N
52.17145,14.62511,301.89,0.39,0.36,2024-09-06,0117,N,nominal,2.0NRT,288.21,0.51,N
