ags,ac,al,dv
01001000,2,19 bis 39,7.2
01002000,2,19 bis 39,8.6
01003000,2,19 bis 39,1.8
01004000,5,75 und älter,0.9
01051011,4,60 bis 74,3.5
01051044,2,19 bis 39,2.4
01051003,4,60 bis 74,6.9
01051010,3,40 bis 59,10.5
01051012,4,60 bis 74,1.3
01051016,5,75 und älter,4.8
01051022,1,unter 18,1.5
01051024,3,40 bis 59,5.0
01051026,3,40 bis 59,5.5
01051032,3,40 bis 59,7.9
01051037,3,40 bis 59,5.5
01051051,3,40 bis 59,3.7
01051064,1,unter 18,2.8
01051089,4,60 bis 74,4.9
01051097,4,60 bis 74,3.6
01051110,1,unter 18,3.8
01051021,3,40 bis 59,5.3
01051034,4,60 bis 74,9.2
01051046,4,60 bis 74,3.3
01051057,3,40 bis 59,6.5
01051062,3,40 bis 59,3.0
01051072,5,75 und älter,4.0
01051073,4,60 bis 74,6.6
01051076,4,60 bis 74,3.7
01051090,1,unter 18,4.3
01051118,4,60 bis 74,5.5
01051119,1,unter 18,3.7
01051019,4,60 bis 74,3.0
01051020,4,60 bis 74,5.3
01051023,1,unter 18,2.6
01051030,3,40 bis 59,6.2
01051035,3,40 bis 59,5.4
01051047,3,40 bis 59,4.3
01051049,5,75 und älter,2.7
01051053,3,40 bis 59,6.5
01051060,4,60 bis 74,8.2
01051061,4,60 bis 74,4.2
01051065,4,60 bis 74,3.7
01051068,3,40 bis 59,4.4
01051071,4,60 bis 74,2.2
01051080,4,60 bis 74,6.7
01051088,3,40 bis 59,2.7
01051092,3,40 bis 59,4.6
01051096,4,60 bis 74,5.7
01051100,3,40 bis 59,5.3
01051102,5,75 und älter,5.8
01051114,5,75 und älter,2.9
01051117,4,60 bis 74,16.1
01051125,4,60 bis 74,4.7
01051136,4,60 bis 74,3.1
01051139,1,unter 18,5.3
01051141,4,60 bis 74,2.9
01051048,4,60 bis 74,2.4
01051067,5,75 und älter,11.8
01051069,5,75 und älter,4.5
01051075,3,40 bis 59,3.0
01051081,4,60 bis 74,4.4
01051082,3,40 bis 59,2.1
01051087,4,60 bis 74,7.8
01051107,5,75 und älter,6.3
01051113,3,40 bis 59,4.6
01051122,4,60 bis 74,3.5
01051130,4,60 bis 74,3.7
01051001,5,75 und älter,2.5
01051002,3,40 bis 59,8.0
01051004,1,unter 18,2.2
01051006,1,unter 18,2.4
01051015,4,60 bis 74,5.7
01051017,1,unter 18,2.8
01051027,3,40 bis 59,5.7
01051028,1,unter 18,3.1
01051039,1,unter 18,2.2
01051063,4,60 bis 74,6.9
01051074,4,60 bis 74,4.6
01051078,3,40 bis 59,2.9
01051083,3,40 bis 59,9.5
01051085,4,60 bis 74,7.8
01051086,4,60 bis 74,5.1
01051098,3,40 bis 59,5.8
01051099,3,40 bis 59,4.2
01051134,3,40 bis 59,2.6
01051135,4,60 bis 74,5.4
01051137,3,40 bis 59,6.2
01051138,3,40 bis 59,2.4
01051013,5,75 und älter,11.8
01051014,4,60 bis 74,16.2
01051045,1,unter 18,7.4
01051079,2,19 bis 39,2.1
01051084,1,unter 18,8.5
01051093,1,unter 18,4.0
01051105,3,40 bis 59,2.9
01051109,4,60 bis 74,4.3
01051127,5,75 und älter,2.2
01051129,3,40 bis 59,2.6
01051132,4,60 bis 74,8.4
01051140,3,40 bis 59,4.2
01053032,1,unter 18,0.8
01053083,5,75 und älter,1.2
01053090,5,75 und älter,3.9
01053100,5,75 und älter,3.9
01053116,1,unter 18,3.2
01053129,5,75 und älter,3.5
01053008,3,40 bis 59,3.1
01053009,1,unter 18,4.8
01053011,1,unter 18,4.3
01053034,1,unter 18,3.6
01053061,3,40 bis 59,5.8
01053067,3,40 bis 59,7.3
01053075,5,75 und älter,3.3
01053094,4,60 bis 74,9.0
01053103,3,40 bis 59,2.9
01053120,1,unter 18,9.6
01053002,3,40 bis 59,4.1
01053005,5,75 und älter,8.5
01053013,3,40 bis 59,3.4
01053014,1,unter 18,3.3
01053037,3,40 bis 59,4.3
01053056,4,60 bis 74,5.0
01053084,3,40 bis 59,6.1
01053095,3,40 bis 59,6.6
01053113,3,40 bis 59,6.8
01053125,3,40 bis 59,9.5
01053134,3,40 bis 59,4.3
01053015,3,40 bis 59,5.6
01053020,1,unter 18,1.0
01053029,4,60 bis 74,6.7
01053046,3,40 bis 59,3.7
01053048,3,40 bis 59,5.3
01053064,1,unter 18,3.1
01053080,4,60 bis 74,4.1
01053092,1,unter 18,4.8
01053104,4,60 bis 74,4.5
01053115,3,40 bis 59,3.3
01053126,3,40 bis 59,7.9
01053132,5,75 und älter,4.8
01053003,5,75 und älter,10.5
01053012,3,40 bis 59,5.3
01053023,3,40 bis 59,1.9
01053028,3,40 bis 59,6.5
01053050,1,unter 18,2.0
01053053,3,40 bis 59,4.9
01053072,3,40 bis 59,4.6
01053133,5,75 und älter,4.6
01053135,4,60 bis 74,9.2
01053006,4,60 bis 74,5.7
01053022,3,40 bis 59,10.4
01053058,1,unter 18,4.2
01053073,3,40 bis 59,1.9
01053087,1,unter 18,1.5
01053111,3,40 bis 59,6.1
01053128,1,unter 18,2.4
01053004,3,40 bis 59,4.4
01053018,4,60 bis 74,5.3
01053026,1,unter 18,6.5
01053033,1,unter 18,7.5
01053041,5,75 und älter,4.9
01053043,1,unter 18,5.6
01053051,3,40 bis 59,7.6
01053054,2,19 bis 39,2.8
01053057,4,60 bis 74,5.7
01053062,3,40 bis 59,7.4
01053066,3,40 bis 59,5.5
01053078,4,60 bis 74,14.4
01053088,5,75 und älter,1.7
01053093,4,60 bis 74,4.1
01053098,3,40 bis 59,4.0
01053107,4,60 bis 74,3.9
01053110,3,40 bis 59,3.2
