Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
2897593;17;04/08/2016 06:20;Strada Urbana;PIAZZA DEL RISORGIMENTO;da specificare;;;;fronte  10;Veicolo in marcia contro ostacolo accidentale;Rettilineo;Più di due carreggiate;Viscido da liquidi oleosi;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;0;12,457;41,90657;-1;1;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;;
2918369;12;01/08/2016 00:30;Strada Urbana;PIAZZA GUGLIELMO MARCONI;da specificare;;;;Direzione GRA altezza via Liszt;Scontro laterale fra veicoli in marcia;Rotatoria;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Sufficiente;Sufficiente;0;0;0;2;12,68023;41,80608;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesploso
2918369;12;01/08/2016 00:30;Strada Urbana;PIAZZA GUGLIELMO MARCONI;da specificare;;;;Direzione GRA altezza via Liszt;Scontro laterale fra veicoli in marcia;Rotatoria;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Sufficiente;Sufficiente;0;0;0;2;12,68023;41,80608;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2918384;12;01/08/2016 04:40;Provinciale;VIA LAURENTINA;da specificare;;;;Altezza GRA (Direzione Roma Centro);Veicolo in marcia contro ostacolo accidentale;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Insufficiente;Inesistente;0;0;0;1;12,48182;41,79745;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesploso
2918537;8;01/08/2016 01:15;Strada Urbana;VIA TUSCOLANA;in prossimità;;del civico n.;1256;;Investimento di pedone;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;2;0;0;1;12,56272;41,85634;-1;;;;Pedone;M;Rifiuta cure immediate;0;NON DECEDUTO;;
2918537;8;01/08/2016 01:15;Strada Urbana;VIA TUSCOLANA;in prossimità;;del civico n.;1256;;Investimento di pedone;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;2;0;0;1;12,56272;41,85634;-1;;;;Pedone;F;Rifiuta cure immediate;0;NON DECEDUTO;;
2918537;8;01/08/2016 01:15;Strada Urbana;VIA TUSCOLANA;in prossimità;;del civico n.;1256;;Investimento di pedone;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;2;0;0;1;12,56272;41,85634;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2918549;11;01/08/2016 02:30;Strada Urbana;VIA OSTIENSE;in prossimità;;del civico n.;92;;Veicolo in marcia contro ostacolo accidentale;Rettilineo;Più di due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Sufficiente;0;0;0;1;12,47942;41,86875;-1;1;Autovettura pubblica;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
2918566;7;01/08/2016 03:50;Strada Urbana;PIAZZA DEI RE DI ROMA;in corrispondenza;;del civico n.;50;;Veicolo in marcia contro ostacolo fisso;Rotatoria;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;Sufficiente;0;0;0;1;12,51387;41,88256;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Esploso
2918573;17;01/08/2016 07:30;Strada Urbana;PIAZZALE CLODIO;all'intersezione con;VIA MUGGIA;VIA MUGGIA;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;3;12,45655;41,91832;-1;1;Veicolo speciale;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
2918573;17;01/08/2016 07:30;Strada Urbana;PIAZZALE CLODIO;all'intersezione con;VIA MUGGIA;VIA MUGGIA;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;3;12,45655;41,91832;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;;
2918573;17;01/08/2016 07:30;Strada Urbana;PIAZZALE CLODIO;all'intersezione con;VIA MUGGIA;VIA MUGGIA;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;3;12,45655;41,91832;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;;
2918781;10;01/08/2016 10:00;Strada Urbana;VIALE APPIO CLAUDIO;all'intersezione con;VIA LUNGRO;VIA LUNGRO;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;2;12,55308;41,83732;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2918781;10;01/08/2016 10:00;Strada Urbana;VIALE APPIO CLAUDIO;all'intersezione con;VIA LUNGRO;VIA LUNGRO;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;2;12,55308;41,83732;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso
2918781;10;01/08/2016 10:00;Strada Urbana;VIALE APPIO CLAUDIO;all'intersezione con;VIA LUNGRO;VIA LUNGRO;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;2;12,55308;41,83732;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;
2918859;7;01/08/2016 10:20;Provinciale entro l'abitato;VIA PRENESTINA;all'intersezione con;VIA MANFREDONIA;VIA MANFREDONIA;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;3;12,57699;41,89447;-1;1;Motociclo con passeggero;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
2918859;7;01/08/2016 10:20;Provinciale entro l'abitato;VIA PRENESTINA;all'intersezione con;VIA MANFREDONIA;VIA MANFREDONIA;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;3;12,57699;41,89447;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2918859;7;01/08/2016 10:20;Provinciale entro l'abitato;VIA PRENESTINA;all'intersezione con;VIA MANFREDONIA;VIA MANFREDONIA;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;3;12,57699;41,89447;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso
2918883;7;01/08/2016 02:00;Strada Urbana;VIA RENZO DA CERI;all'intersezione con;VIA SAMPIERO DI BASTELICA;VIA SAMPIERO DI BASTELICA;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;Sufficiente;0;0;0;3;12,53862;41,89065;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
2918883;7;01/08/2016 02:00;Strada Urbana;VIA RENZO DA CERI;all'intersezione con;VIA SAMPIERO DI BASTELICA;VIA SAMPIERO DI BASTELICA;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;Sufficiente;0;0;0;3;12,53862;41,89065;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
