Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
2881112;1;01/07/2016 08:10;Strada Urbana;VIALE GUIDO BACCELLI;in corrispondenza;;del civico n.;78;;Scontro laterale fra veicoli in marcia;Curva a visuale libera;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12,49561;41,87481;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesploso
2881112;1;01/07/2016 08:10;Strada Urbana;VIALE GUIDO BACCELLI;in corrispondenza;;del civico n.;78;;Scontro laterale fra veicoli in marcia;Curva a visuale libera;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12,49561;41,87481;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2881156;2;01/07/2016 12:00;Strada Urbana;VIALE BRUNO BUOZZI;all'intersezione con;VIA DELLE TRE MADONNE;VIA DELLE TRE MADONNE;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12,482;41,92159;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesploso
2881156;2;01/07/2016 12:00;Strada Urbana;VIALE BRUNO BUOZZI;all'intersezione con;VIA DELLE TRE MADONNE;VIA DELLE TRE MADONNE;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12,482;41,92159;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesploso
2881248;1;01/07/2016 02:15;Strada Urbana;VIA FLAVIA;in prossimità;;del civico n.;62;;Veicolo in marcia contro veicolo in sosta;Rettilineo;Una carreggiata a senso unico di marcia;Viscido da liquidi oleosi;In cubetti di porfido;Verticale ed orizzontale;Sereno;Normale;Buona;Sufficiente;1;0;0;0;12,49696;41,90698;-1;1;Motociclo a solo;In marcia / fermata / arresto;Conducente;F;Ricoverato;0;NON DECEDUTO;Non accertato;
2881251;15;01/07/2016 09:00;Strada Urbana;PIAZZA PIERO PURICELLI;in prossimità;;del civico n.;5;;Investimento di pedone;Rotatoria;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Sufficiente;Ore Diurne;1;0;0;1;12,45706;41,85989;-1;;;;Pedone;M;Rimandato;0;NON DECEDUTO;;
2881251;15;01/07/2016 09:00;Strada Urbana;PIAZZA PIERO PURICELLI;in prossimità;;del civico n.;5;;Investimento di pedone;Rotatoria;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Sufficiente;Ore Diurne;1;0;0;1;12,45706;41,85989;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Utilizzato;Inesploso
2881315;10;01/07/2016 09:54;Strada Urbana;VIALE ANICIO GALLO;in corrispondenza;;del civico n.;103;;Investimento di pedone;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12,56402;41,85264;-1;;;;Pedone;F;Rimandato;0;NON DECEDUTO;;
2881315;10;01/07/2016 09:54;Strada Urbana;VIALE ANICIO GALLO;in corrispondenza;;del civico n.;103;;Investimento di pedone;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12,56402;41,85264;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2881329;1;01/07/2016 10:30;Strada Urbana;VIA TOMACELLI;in prossimità;;del civico n.;7;;Investimento di pedone;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12,47816;41,9047;-1;;;;Pedone;M;Illeso;0;;;
