Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
3441750;6;01/09/2017 02:50;Strada Urbana;VIA TARANTO;in prossimità;;del civico n.;66/c;;Veicolo in marcia contro veicoli in sosta;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;Sufficiente;0;0;0;4;12,51528;41,88447;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
3441750;6;01/09/2017 02:50;Strada Urbana;VIA TARANTO;in prossimità;;del civico n.;66/c;;Veicolo in marcia contro veicoli in sosta;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;Sufficiente;0;0;0;4;12,51528;41,88447;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;;
3441778;1;01/09/2017 00:05;Strada Urbana;PASSEGGIATA DEL GIANICOLO;da specificare;;;;fronte RAMPA DELLA QUERCIA;Veicolo in marcia contro ostacolo accidentale;Curva a visuale libera;Una carreggiata a doppio senso;Viscido da liquidi oleosi;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;Sufficiente;1;0;0;0;12,46057;41,89359;-1;1;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;;
3441820;12;01/09/2017 07:20;Strada Urbana;VIALE UMBERTO TUPINI;da specificare;;;;prossimità viale America;Veicolo in marcia contro veicolo in sosta;Pendenza;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Normale;Buona;Ore Diurne;1;0;0;0;12,46183;41,8328;-1;1;Motociclo a solo;In marcia / fermata / arresto;Conducente;F;Rimandato;0;NON DECEDUTO;Non accertato;
3441823;9;01/09/2017 07:15;Strada Urbana;PIAZZA ZAMA;da specificare;;;;fonte civico 09;Scontro laterale fra veicoli in marcia;Rotatoria;Una carreggiata a senso unico di marcia;Bagnato (pioggia);Asfaltata;Orizzontale;Pioggia in atto;Scarso;Buona;Ore Diurne;0;0;0;2;12,50979;41,87645;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
3441823;9;01/09/2017 07:15;Strada Urbana;PIAZZA ZAMA;da specificare;;;;fonte civico 09;Scontro laterale fra veicoli in marcia;Rotatoria;Una carreggiata a senso unico di marcia;Bagnato (pioggia);Asfaltata;Orizzontale;Pioggia in atto;Scarso;Buona;Ore Diurne;0;0;0;2;12,50979;41,87645;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
3441831;5;01/09/2017 00:10;Strada Urbana;VIA GIROLAMO MECHELLI;da specificare;;;;in prossimità di VIA LUIGI GIGLIOTTI;Tamponamento;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Assente;Sereno;Scarso;Sufficiente;Sufficiente;1;0;0;2;12,59081;41,93851;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesistente
3441831;5;01/09/2017 00:10;Strada Urbana;VIA GIROLAMO MECHELLI;da specificare;;;;in prossimità di VIA LUIGI GIGLIOTTI;Tamponamento;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Assente;Sereno;Scarso;Sufficiente;Sufficiente;1;0;0;2;12,59081;41,93851;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente
3441831;5;01/09/2017 00:10;Strada Urbana;VIA GIROLAMO MECHELLI;da specificare;;;;in prossimità di VIA LUIGI GIGLIOTTI;Tamponamento;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Assente;Sereno;Scarso;Sufficiente;Sufficiente;1;0;0;2;12,59081;41,93851;-1;3;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
3441889;9;01/09/2017 07:00;Strada Urbana;VIA LANUVIO;in corrispondenza;;del civico n.;46;;Veicolo in marcia contro veicoli in sosta;Curva senza visuale libera;Una carreggiata a senso unico di marcia;Bagnato (pioggia);Asfaltata;Assente;Nuvoloso;Scarso;Buona;Ore Diurne;0;0;0;1;12,53258;41,86432;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
3441955;8;01/09/2017 01:00;Strada Urbana;VIA COLLATINA;in prossimità;;del civico n.;726;;Scontro frontale/laterale SX fra veicoli in marcia;Curva a visuale libera;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;0;0;0;2;12,64153;41,91136;-1;1;Autobus di linea;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
3441955;8;01/09/2017 01:00;Strada Urbana;VIA COLLATINA;in prossimità;;del civico n.;726;;Scontro frontale/laterale SX fra veicoli in marcia;Curva a visuale libera;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;0;0;0;2;12,64153;41,91136;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Esploso
