"deputati","nome","gender","email","foto","nomeCollegio","lat","long"
"http://dati.openars.org/legislatura/xvi/deputato/bandiera-edgardo-edy","Bandiera Edgardo Edy","M","ebandiera@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000886.jpg","Siracusa","37.08330154418945","15.28330039978027"
"http://dati.openars.org/legislatura/xvi/deputato/barbagallo-anthony-emanuele-detto-entoni","Barbagallo Anthony Emanuele detto Entoni","M","abarbagallo@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000820.jpg","Catania","37.5","15.09029960632324"
"http://dati.openars.org/legislatura/xvi/deputato/cascio-francesco","Cascio Francesco","M","fcascio@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000024.jpg","Palermo","38.11669921875","13.36670017242432"
"http://dati.openars.org/legislatura/xvi/deputato/cimino-michele","Cimino Michele","M","mcimino@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000028.jpg","Agrigento","37.31669998168945","13.58329963684082"
"http://dati.openars.org/legislatura/xvi/deputato/cordaro-salvatore-detto-toto","Cordaro Salvatore detto Toto","M","scordaro@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000778.jpg","Palermo","38.11669921875","13.36670017242432"
"http://dati.openars.org/legislatura/xvi/deputato/cracolici-antonello","Cracolici Antonello","M","acracolici@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000032.jpg","Palermo","38.11669921875","13.36670017242432"
"http://dati.openars.org/legislatura/xvi/deputato/crocetta-rosario","Crocetta Rosario","M","rcrocetta@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000828.jpg","Regionale",,
"http://dati.openars.org/legislatura/xvi/deputato/di-mauro-giovanni-detto-roberto","Di Mauro Giovanni detto Roberto","M","gdimauro@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000473.jpg","Agrigento","37.31669998168945","13.58329963684082"
"http://dati.openars.org/legislatura/xvi/deputato/falcone-marco","Falcone Marco","M","mfalcone@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000753.jpg","Catania","37.5","15.09029960632324"
"http://dati.openars.org/legislatura/xvi/deputato/formica-santi","Formica Santi","M","sformica@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000045.jpg","Messina","38.18330001831055","15.55000019073486"
"http://dati.openars.org/legislatura/xvi/deputato/gianni-giuseppe-detto-pippo","Gianni Giuseppe detto Pippo","M","ggianni@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000711.jpg","Siracusa","37.08330154418945","15.28330039978027"
"http://dati.openars.org/legislatura/xvi/deputato/grasso-bernadette-felice","Grasso Bernadette Felice","M","bgrasso@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000841.jpg","Messina","38.18330001831055","15.55000019073486"
"http://dati.openars.org/legislatura/xvi/deputato/gucciardi-baldassare-detto-baldo","Gucciardi Baldassare detto Baldo","M","bgucciardi@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000713.jpg","Trapani","38.01670074462891","12.51669979095459"
"http://dati.openars.org/legislatura/xvi/deputato/lantieri-annunziata-luisa","Lantieri Annunziata Luisa","F","alantieri@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000843.jpg","Enna","37.56330108642578","14.27610015869141"
"http://dati.openars.org/legislatura/xvi/deputato/leanza-nicola-detto-lino","Leanza Nicola detto Lino","M","nleanza@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000057.jpg","Regionale",,
"http://dati.openars.org/legislatura/xvi/deputato/marziano-bruno","Marziano Bruno","M","bmarziano@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000767.jpg","Siracusa","37.08330154418945","15.28330039978027"
"http://dati.openars.org/legislatura/xvi/deputato/micciche-gianluca-antonello","Miccichè Gianluca Antonello","M","gmicciche@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000852.jpg","Caltanissetta","37.49029922485352","14.0625"
"http://dati.openars.org/legislatura/xvi/deputato/musumeci-nello","Musumeci Nello .","M","nmusumeci@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000854.jpg","Regionale",,
"http://dati.openars.org/legislatura/xvi/deputato/scoma-francesco","Scoma Francesco","M","fscoma@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000088.jpg","Palermo","38.11669921875","13.36670017242432"
"http://dati.openars.org/legislatura/xvi/deputato/sorbello-giuseppe-detto-pippo","Sorbello Giuseppe detto Pippo","M","gsorbello@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000859.jpg","Siracusa","37.08330154418945","15.28330039978027"
"http://dati.openars.org/legislatura/xvi/deputato/turano-girolamo-mimmo","Turano Girolamo Mimmo","M","gturano@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000095.jpg","Trapani","38.01670074462891","12.51669979095459"
"http://dati.openars.org/legislatura/xvi/deputato/fiorenza-cataldo-detto-dino","Fiorenza Cataldo detto Dino","M","d.fiorenza@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000757.jpg","Catania","37.5","15.09029960632324"
"http://dati.openars.org/legislatura/xvi/deputato/vinciullo-vincenzo-detto-enzo","Vinciullo Vincenzo detto Enzo","M","vvinciullo@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000775.jpg","Siracusa","37.08330154418945","15.28330039978027"
"http://dati.openars.org/legislatura/xvi/deputato/rinaldi-francesco-detto-franco","Rinaldi Francesco detto Franco","M","frinaldi@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000727.jpg","Messina","38.18330001831055","15.55000019073486"
"http://dati.openars.org/legislatura/xvi/deputato/greco-marcello","Greco Marcello","M","m.greco@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000842.jpg","Messina","38.18330001831055","15.55000019073486"
"http://dati.openars.org/legislatura/xvi/deputato/raia-concetta","Raia Concetta","F","craia@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000771.jpg","Catania","37.5","15.09029960632324"
"http://dati.openars.org/legislatura/xvi/deputato/la-rocca-claudia","La Rocca Claudia","F","clarocca@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000844.jpg","Palermo","38.11669921875","13.36670017242432"
"http://dati.openars.org/legislatura/xvi/deputato/mangiacavallo-matteo","Mangiacavallo Matteo","M","mmangiacavallo@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000851.jpg","Agrigento","37.31669998168945","13.58329963684082"
"http://dati.openars.org/legislatura/xvi/deputato/arancio-giuseppe-concetto-peppe","Arancio Giuseppe Concetto Peppe","M","garancio@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000818.jpg","Caltanissetta","37.49029922485352","14.0625"
"http://dati.openars.org/legislatura/xvi/deputato/panepinto-giovanni","Panepinto Giovanni","M","gpanepinto@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000720.jpg","Agrigento","37.31669998168945","13.58329963684082"
"http://dati.openars.org/legislatura/xvi/deputato/anselmo-alice-detta-alicia-licia-anzelmo","Anselmo Alice detta Alicia, Licia, Anzelmo","M","aanselmo@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000817.jpg","Regionale",,
"http://dati.openars.org/legislatura/xvi/deputato/malafarina-antonio","Malafarina Antonio","M","amalafarina@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000850.jpg","Regionale",,
"http://dati.openars.org/legislatura/xvi/deputato/trizzino-giampiero","Trizzino Giampiero","M","gtrizzino@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000862.jpg","Palermo","38.11669921875","13.36670017242432"
"http://dati.openars.org/legislatura/xvi/deputato/cappello-francesco","Cappello Francesco","M","fcappello@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000822.jpg","Catania","37.5","15.09029960632324"
"http://dati.openars.org/legislatura/xvi/deputato/dina-antonino-detto-nino","Dina Antonino detto Nino","M","adina@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000041.jpg","Palermo","38.11669921875","13.36670017242432"
"http://dati.openars.org/legislatura/xvi/deputato/ferreri-vanessa","Ferreri Vanessa","F","vferreri@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000835.jpg","Ragusa","36.93330001831055","14.75"
"http://dati.openars.org/legislatura/xvi/deputato/fazio-girolamo","Fazio Girolamo","M","gfazio@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000832.jpg","Trapani","38.01670074462891","12.51669979095459"
"http://dati.openars.org/legislatura/xvi/deputato/siragusa-salvatore","Siragusa Salvatore","M","ssiragusa@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000858.jpg","Palermo","38.11669921875","13.36670017242432"
"http://dati.openars.org/legislatura/xvi/deputato/alongi-pietro","Alongi Pietro","M","palongi@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000885.jpg","Palermo","38.11669921875","13.36670017242432"
"http://dati.openars.org/legislatura/xvi/deputato/milazzo-giuseppe","Milazzo Giuseppe","M","gmilazzo@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000881.jpg","Palermo","38.11669921875","13.36670017242432"
"http://dati.openars.org/legislatura/xvi/deputato/maggio-maria-leonarda-detta-mariella","Maggio Maria Leonarda detta Mariella","F","mmaggio@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000849.jpg","Regionale",,
"http://dati.openars.org/legislatura/xvi/deputato/oddo-salvatore-antonino","Oddo Salvatore Antonino","M","soddo@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000742.jpg","Regionale",,
